Timestamp,"Deg C","Deg C","Deg C","Deg C"
Timestamp,Min,Avg,Max,Std
"2020/06/01 00:00:00",12.18,12.18,12.2,0.006
"2020/06/01 00:10:00",12.18,12.18,12.2,0.005
"2020/06/01 00:20:00",12.16,12.17,12.18,0.008
"2020/06/01 00:30:00",12.17,12.39,12.85,0.264
"2020/06/01 00:40:00",12.85,12.97,13.1,0.073
"2020/06/01 00:50:00",12.89,13.11,13.39,0.165
"2020/06/01 01:00:00",13.36,13.48,13.64,0.075
"2020/06/01 01:10:00",13.47,13.62,13.7,0.061
"2020/06/01 01:20:00",12.89,13.16,13.48,0.182
"2020/06/01 01:30:00",12.89,13.18,13.85,0.362
"2020/06/01 01:40:00",13.85,13.94,14.06,0.059
"2020/06/01 01:50:00",13.86,14,14.12,0.078
"2020/06/01 02:00:00",13.55,13.8,14.12,0.171
"2020/06/01 02:10:00",13.52,13.72,13.97,0.126
"2020/06/01 02:20:00",13.61,13.92,14.22,0.16
"2020/06/01 02:30:00",13.85,14.13,14.44,0.182
"2020/06/01 02:40:00",13.75,14,14.31,0.168
"2020/06/01 02:50:00",14.01,14.14,14.22,0.054
"2020/06/01 03:00:00",13.8,14.02,14.24,0.12
"2020/06/01 03:10:00",13.72,13.96,14.13,0.14
"2020/06/01 03:20:00",13.7,13.87,14.02,0.102
"2020/06/01 03:30:00",13.83,14.01,14.27,0.121
"2020/06/01 03:40:00",13.72,14.09,14.4,0.209
"2020/06/01 03:50:00",13.64,13.98,14.27,0.195
"2020/06/01 04:00:00",13.67,13.89,14.06,0.12
"2020/06/01 04:10:00",13.83,14,14.08,0.051
"2020/06/01 04:20:00",13.58,13.68,13.83,0.085
"2020/06/01 04:30:00",13.42,13.55,13.65,0.087
"2020/06/01 04:40:00",13.29,13.36,13.42,0.05
"2020/06/01 04:50:00",13.12,13.16,13.29,0.052
"2020/06/01 05:00:00",12.98,13.05,13.13,0.048
"2020/06/01 05:10:00",12.95,12.97,12.99,0.011
"2020/06/01 05:20:00",12.9,12.92,12.96,0.021
"2020/06/01 05:30:00",12.86,12.87,12.9,0.01
"2020/06/01 05:40:00",12.84,12.87,12.9,0.018
"2020/06/01 05:50:00",12.84,12.85,12.87,0.008
"2020/06/01 06:00:00",12.82,12.83,12.85,0.005
"2020/06/01 06:10:00",12.73,12.79,12.83,0.029
"2020/06/01 06:20:00",12.71,12.73,12.74,0.006
"2020/06/01 06:30:00",12.69,12.71,12.72,0.008
"2020/06/01 06:40:00",12.66,12.68,12.7,0.007
"2020/06/01 06:50:00",12.64,12.66,12.68,0.012
"2020/06/01 07:00:00",12.6,12.61,12.64,0.013
"2020/06/01 07:10:00",12.56,12.58,12.6,0.012
"2020/06/01 07:20:00",12.55,12.56,12.58,0.006
"2020/06/01 07:30:00",12.54,12.54,12.56,0.006
"2020/06/01 07:40:00",12.54,12.66,12.74,0.055
"2020/06/01 07:50:00",12.7,12.73,12.76,0.018
"2020/06/01 08:00:00",12.69,12.76,12.8,0.027
"2020/06/01 08:10:00",12.66,12.96,13.3,0.235
"2020/06/01 08:20:00",13.28,13.32,13.37,0.028
"2020/06/01 08:30:00",13.23,13.28,13.34,0.031
"2020/06/01 08:40:00",13.19,13.22,13.23,0.01
"2020/06/01 08:50:00",13.06,13.17,13.23,0.056
"2020/06/01 09:00:00",12.64,12.8,13.06,0.151
"2020/06/01 09:10:00",12.64,12.66,12.68,0.013
"2020/06/01 09:20:00",12.64,12.66,12.69,0.017
"2020/06/01 09:30:00",12.68,12.73,12.77,0.027
"2020/06/01 09:40:00",12.74,12.79,12.82,0.023
"2020/06/01 09:50:00",12.7,12.75,12.82,0.039
"2020/06/01 10:00:00",12.74,12.86,12.9,0.041
"2020/06/01 10:10:00",12.79,12.84,12.9,0.026
"2020/06/01 10:20:00",12.75,12.86,12.96,0.078
"2020/06/01 10:30:00",12.88,12.93,12.98,0.025
"2020/06/01 10:40:00",12.85,12.89,12.91,0.019
"2020/06/01 10:50:00",12.79,12.83,12.87,0.021
"2020/06/01 11:00:00",12.83,12.85,12.88,0.013
"2020/06/01 11:10:00",12.83,12.99,13.07,0.063
"2020/06/01 11:20:00",12.86,13.03,13.28,0.137
"2020/06/01 11:30:00",12.9,13.13,13.27,0.101
"2020/06/01 11:40:00",13.07,13.2,13.28,0.056
"2020/06/01 11:50:00",13.15,13.18,13.24,0.027
"2020/06/01 12:00:00",13.05,13.09,13.16,0.022
"2020/06/01 12:10:00",13.01,13.05,13.11,0.035
"2020/06/01 12:20:00",12.98,13.02,13.05,0.026
"2020/06/01 12:30:00",12.93,12.96,12.99,0.014
"2020/06/01 12:40:00",12.95,12.97,12.98,0.008
"2020/06/01 12:50:00",12.97,12.98,13,0.007
"2020/06/01 13:00:00",12.99,12.99,13.01,0.004
