Lake George Water Temp 2020,
,
6/1/2020,56.3
6/2/2020,56.9
6/3/2020,57.2
6/4/2020,57.4
6/5/2020,58.83
6/5/2020,57.31
6/5/2020,57.88
6/5/2020,58.21
6/5/2020,58.21
6/5/2020,57.65
6/5/2020,58.21
6/5/2020,57.42
6/5/2020,57.09
6/5/2020,56.64
6/5/2020,55.96
6/5/2020,56.3
6/6/2020,54.72
6/6/2020,55.63
6/6/2020,55.96
6/6/2020,56.3
6/6/2020,59.11
6/6/2020,60.46
6/7/2020,59.45
6/7/2020,59.9
6/7/2020,60.46
6/7/2020,60.58
6/7/2020,60.69
6/7/2020,60.8
6/8/2020,60.35
6/8/2020,60.24
6/8/2020,60.12
6/8/2020,59.79
6/8/2020,59.9
6/8/2020,59.9
6/8/2020,61.47
6/8/2020,61.59
6/8/2020,61.59
6/8/2020,62.15
6/9/2020,61.47
6/9/2020,61.47
6/9/2020,61.47
6/9/2020,61.47
6/9/2020,62.26
6/9/2020,62.6
6/9/2020,63.16
6/9/2020,63.28
6/9/2020,63.28
6/9/2020,62.94
6/9/2020,62.83
6/10/2020,64.02
6/10/2020,62.26
6/10/2020,62.6
6/10/2020,63.39
6/10/2020,63.5
6/10/2020,63.28
6/10/2020,63.05
6/10/2020,63.39
6/10/2020,62.94
6/10/2020,62.83
6/11/2020,63.16
6/11/2020,62.38
6/11/2020,62.26
6/11/2020,62.26
6/11/2020,62.94
6/11/2020,63.39
6/11/2020,63.95
6/11/2020,64.62
6/11/2020,64.85
6/11/2020,63.28
6/11/2020,63.28
6/12/2020,62.49
6/12/2020,61.92
6/12/2020,61.7
6/12/2020,60.8
6/12/2020,61.25
6/12/2020,61.7
6/12/2020,62.26
6/12/2020,62.26
6/12/2020,62.49
6/12/2020,62.83
6/12/2020,62.94
6/12/2020,62.26
6/13/2020,59.45
6/13/2020,59.67
6/13/2020,60.69
6/13/2020,60.69
6/13/2020,60.58
6/13/2020,60.58
6/14/2020,60.46
6/14/2020,60.12
6/14/2020,60.35
6/14/2020,60.35
6/14/2020,60.69
6/14/2020,61.36
6/14/2020,61.7
6/14/2020,61.92
6/14/2020,61.92
6/14/2020,62.04
6/14/2020,61.92
