Lake George Water Temp 2020,
2020-06-05 11:18:08,57.31
2020-06-05 12:18:34,57.88
2020-06-05 13:12:16,58.21
2020-06-05 13:15:37,58.21
2020-06-05 14:09:20,57.65
2020-06-05 14:39:33,58.21
2020-06-05 14:52:59,57.42
2020-06-05 15:53:25,57.09
2020-06-05 17:57:38,56.64
2020-06-05 22:29:34,55.96
2020-06-05 23:13:12,56.3
2020-06-06 02:17:50,54.72
2020-06-06 04:22:03,55.63
2020-06-06 06:26:15,55.96
2020-06-06 07:53:33,56.3
2020-06-06 13:29:15,59.11
2020-06-06 22:23:02,60.46
2020-06-07 06:29:50,59.45
2020-06-07 10:24:52,59.9
2020-06-07 12:22:24,60.46
2020-06-07 13:12:47,60.58
2020-06-07 13:49:43,60.69
2020-06-07 17:07:51,60.8
2020-06-08 00:11:00,60.35
2020-06-08 01:55:05,60.24
2020-06-08 02:48:49,60.12
2020-06-08 08:51:31,59.79
2020-06-08 09:35:11,59.9
2020-06-08 09:41:55,59.9
2020-06-08 13:57:31,61.47
2020-06-08 14:00:32,61.59
2020-06-08 14:10:37,61.59
2020-06-08 21:10:26,62.15
2020-06-09 03:03:05,61.47
2020-06-09 03:50:06,61.47
2020-06-09 04:57:15,61.47
2020-06-09 08:52:20,61.47
2020-06-09 12:23:55,62.26
2020-06-09 12:34:00,62.6
2020-06-09 14:14:44,63.16
2020-06-09 14:18:05,63.28
2020-06-09 16:08:55,63.28
2020-06-09 20:30:51,62.94
2020-06-09 20:54:21,62.83
2020-06-10 00:00:00,64.02
2020-06-10 08:29:28,62.26
2020-06-10 09:33:16,62.6
2020-06-10 12:01:03,63.39
2020-06-10 12:17:49,63.5
2020-06-10 13:48:33,63.28
2020-06-10 17:16:45,63.05
2020-06-10 19:27:43,63.39
2020-06-10 21:31:58,62.94
2020-06-10 22:42:29,62.83
2020-06-11 05:52:18,63.16
2020-06-11 08:57:00,62.38
2020-06-11 10:47:53,62.26
2020-06-11 11:48:20,62.26
2020-06-11 13:59:20,62.94
2020-06-11 14:26:12,63.39
2020-06-11 16:06:56,63.95
2020-06-11 17:10:45,64.62
2020-06-11 20:32:13,64.85
2020-06-11 23:26:51,63.28
2020-06-11 23:33:34,63.28
2020-06-12 00:20:35,62.49
2020-06-12 03:35:21,61.92
2020-06-12 04:49:13,61.7
2020-06-12 07:03:32,60.8
2020-06-12 10:28:24,61.25
2020-06-12 12:12:29,61.7
2020-06-12 13:29:43,62.26
2020-06-12 13:33:04,62.26
2020-06-12 14:50:18,62.49
2020-06-12 16:07:32,62.83
2020-06-12 16:41:07,62.94
2020-06-12 21:23:12,62.26
2020-06-13 01:31:42,59.45
2020-06-13 08:24:45,59.67
2020-06-13 16:31:43,60.69
2020-06-13 18:42:40,60.69
2020-06-13 22:20:57,60.58
2020-06-13 23:07:58,60.58
2020-06-14 01:59:14,60.46
2020-06-14 06:24:32,60.12
2020-06-14 08:35:29,60.35
2020-06-14 09:02:21,60.35
2020-06-14 11:16:42,60.69
2020-06-14 13:04:10,61.36
2020-06-14 15:31:55,61.7
2020-06-14 17:42:53,61.92
2020-06-14 18:26:32,61.92
2020-06-14 20:37:30,62.04
2020-06-14 22:45:06,61.92
2020-06-15 01:16:14,61.81
2020-06-15 02:26:45,61.81
2020-06-15 07:59:12,61.59
2020-06-15 09:39:57,61.7
2020-06-15 11:34:07,62.26
2020-06-15 13:51:48,62.49
2020-06-15 18:03:40,63.72
2020-06-15 21:35:14,64.06
2020-06-15 23:12:37,63.72
2020-06-15 23:56:16,63.72
2020-06-16 07:56:29,62.83
2020-06-16 09:30:31,62.94
2020-06-16 00:00:00,64.4
2020-06-16 14:15:57,65.07
2020-06-16 15:09:40,66.09
2020-06-16 17:37:26,66.99
2020-06-16 17:57:34,67.55
2020-06-16 20:32:03,66.31
2020-06-16 20:38:46,66.09
2020-06-17 00:23:45,65.86
2020-06-17 02:14:35,65.64
2020-06-17 06:39:52,65.07
2020-06-17 13:26:12,66.65
2020-06-17 23:57:31,67.21
2020-06-18 01:04:41,66.99
2020-06-18 03:49:14,66.87
2020-06-18 07:27:31,66.31
2020-06-18 11:05:48,66.65
2020-06-18 11:15:52,66.76
2020-06-18 11:42:44,67.44
2020-06-18 18:42:30,67.21
2020-06-18 19:02:38,67.1
2020-06-18 22:00:43,66.31
2020-06-18 22:44:22,66.43
2020-06-19 02:42:49,66.09
2020-06-19 03:56:42,65.3
2020-06-19 07:38:20,64.85
2020-06-19 08:48:51,64.4
2020-06-19 09:09:00,64.62
2020-06-19 09:12:21,64.4
2020-06-19 12:37:13,64.74
2020-06-19 13:47:44,64.85
2020-06-19 16:39:00,65.41
2020-06-19 19:40:20,64.74
2020-06-19 22:34:57,64.51
2020-06-19 22:55:05,64.29
2020-06-19 22:58:27,64.29
2020-06-20 01:56:27,63.72
2020-06-20 02:36:44,63.84
2020-06-20 08:15:54,63.61
2020-06-20 08:49:29,63.72
2020-06-20 15:49:19,67.55
2020-06-20 20:31:23,66.54
2020-06-20 21:08:20,66.31
2020-06-20 23:05:52,66.31
2020-06-20 23:19:18,66.2
2020-06-21 00:06:19,66.54
2020-06-21 00:46:37,66.43
2020-06-21 04:28:15,66.2
2020-06-21 13:29:06,66.54
2020-06-21 21:46:07,66.99
2020-06-22 00:50:49,67.32
2020-06-22 04:19:01,67.21
2020-06-22 05:19:27,66.99
2020-06-22 05:42:58,67.1
2020-06-22 07:13:38,66.99
2020-06-22 08:10:42,67.21
2020-06-22 09:14:31,67.32
2020-06-22 09:38:01,67.78
2020-06-22 11:05:20,68.79
2020-06-22 11:12:03,68.9
2020-06-22 13:43:10,69.57
2020-06-22 20:36:14,69.46
2020-06-22 21:43:24,68.9
2020-06-23 02:01:58,69.01
2020-06-23 08:48:18,69.12
2020-06-23 11:22:46,68.68
2020-06-23 12:26:34,68.11
2020-06-23 13:37:06,67.66
2020-06-23 18:29:15,65.3
2020-06-23 22:04:16,66.54
2020-06-23 22:17:42,66.54
2020-06-24 00:28:45,65.41
2020-06-24 00:58:58,65.41
2020-06-24 03:40:10,66.31
2020-06-24 03:56:57,66.31
2020-06-24 05:17:33,66.2
2020-06-24 14:58:31,66.76
2020-06-24 15:55:35,66.99
2020-06-24 16:52:41,67.1
2020-06-24 23:59:15,62.94
2020-06-25 04:51:34,62.15
2020-06-25 06:02:05,62.15
2020-06-25 15:59:53,63.39
2020-06-25 16:33:27,61.92
2020-06-25 21:05:28,62.71
2020-06-26 01:13:58,60.8
2020-06-26 03:28:21,60.69
2020-06-26 05:59:28,61.03
2020-06-26 14:29:56,64.06
2020-06-26 15:06:56,64.51
2020-06-26 15:53:57,64.85
2020-06-26 20:52:49,65.19
2020-06-26 20:59:32,65.19
2020-06-26 23:40:43,64.62
2020-06-27 00:10:56,64.62
2020-06-27 04:46:19,64.06
2020-06-27 04:56:24,64.06
2020-06-27 08:07:49,64.62
2020-06-27 11:15:53,65.53
2020-06-27 11:25:57,65.53
2020-06-27 15:27:44,66.09
2020-06-27 18:12:17,66.43
2020-06-27 21:43:51,66.2
2020-06-28 02:46:10,65.75
2020-06-28 06:17:45,65.41
2020-06-28 07:55:07,65.3
2020-06-28 09:05:40,65.53
2020-06-28 10:32:59,65.53
2020-06-28 12:13:43,65.75
2020-06-28 13:17:31,65.53
2020-06-28 15:35:15,65.75
2020-06-29 00:09:11,66.09
