Provisional,Location,Parameter,Date,Observed
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 1:00:00 AM,61.5
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 2:00:00 AM,61.27
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 3:00:00 AM,60.95
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 4:00:00 AM,60.63
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 5:00:00 AM,60.34
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 6:00:00 AM,60.06
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 7:00:00 AM,59.83
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 8:00:00 AM,59.64
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 9:00:00 AM,59.43
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 10:00:00 AM,59.33
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 11:00:00 AM,59.82
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 12:00:00 PM,60.46
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 1:00:00 PM,60.87
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 2:00:00 PM,61.17
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 3:00:00 PM,61.28
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 4:00:00 PM,61.51
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 5:00:00 PM,61.46
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 6:00:00 PM,61.22
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 7:00:00 PM,61.06
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 8:00:00 PM,60.86
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 9:00:00 PM,60.65
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 10:00:00 PM,60.43
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/1/2020 11:00:00 PM,60.26
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/2/2020 12:00:00 AM,60.09
Provisional,LK WINNIPESAUKEE @ WEIRS BEACH,WATER TEMPERATURE (HOUR) [DEGF],6/2/2020 1:00:00 AM,59.94
