sst_gridpoint,lon,lat,water_temp
"[2390, 5708]",-73.37118459999999,43.8419334,
"[2392, 5708]",-73.37118459999999,43.8779234,66.99
"[2395, 5706]",-73.40717459999999,43.9319084,66.99
"[2400, 5704]",-73.44316459999999,44.0218834,67.35
"[2400, 5706]",-73.40717459999999,44.0218834,67.35
"[2401, 5704]",-73.44316459999999,44.0398784,67.35
"[2401, 5705]",-73.42516959999999,44.0398784,67.35
"[2402, 5704]",-73.44316459999999,44.0578734,67.35
"[2402, 5705]",-73.42516959999999,44.0578734,67.35
"[2403, 5705]",-73.42516959999999,44.0758684,67.35
"[2403, 5706]",-73.40717459999999,44.0758684,67.35
"[2404, 5705]",-73.42516959999999,44.0938634,67.35
"[2404, 5706]",-73.40717459999999,44.0938634,67.35
"[2405, 5706]",-73.40717459999999,44.1118584,67.71
"[2405, 5707]",-73.38917959999999,44.1118584,67.71
"[2406, 5706]",-73.40717459999999,44.1298534,67.71
"[2406, 5707]",-73.38917959999999,44.1298534,67.71
"[2407, 5706]",-73.40717459999999,44.1478484,67.35
"[2407, 5707]",-73.38917959999999,44.1478484,67.35
"[2407, 5708]",-73.37118459999999,44.1478484,67.71
"[2408, 5707]",-73.38917959999999,44.1658434,67.35
"[2408, 5708]",-73.37118459999999,44.1658434,67.35
"[2409, 5705]",-73.42516959999999,44.1838384,67.35
"[2409, 5706]",-73.40717459999999,44.1838384,67.71
"[2409, 5707]",-73.38917959999999,44.1838384,67.35
"[2409, 5708]",-73.37118459999999,44.1838384,67.35
"[2410, 5707]",-73.38917959999999,44.2018334,67.35
"[2410, 5708]",-73.37118459999999,44.2018334,67.35
"[2410, 5709]",-73.3531896,44.2018334,67.35
"[2411, 5709]",-73.3531896,44.2198284,66.99
"[2412, 5710]",-73.3351946,44.237823399999996,66.99
"[2412, 5711]",-73.3171996,44.237823399999996,66.99
"[2413, 5710]",-73.3351946,44.2558184,66.99
"[2413, 5711]",-73.3171996,44.2558184,66.99
"[2413, 5712]",-73.29920459999998,44.2558184,66.99
"[2413, 5713]",-73.28120959999998,44.2558184,66.99
"[2414, 5711]",-73.3171996,44.2738134,66.99
"[2414, 5712]",-73.29920459999998,44.2738134,66.99
"[2415, 5711]",-73.3171996,44.2918084,66.99
"[2415, 5712]",-73.29920459999998,44.2918084,66.99
"[2416, 5711]",-73.3171996,44.3098034,67.35
"[2417, 5710]",-73.3351946,44.3277984,67.35
"[2417, 5711]",-73.3171996,44.3277984,67.35
"[2417, 5712]",-73.29920459999998,44.3277984,67.71
