sst_gridpoint,lon,lat,water_temp
"[2699, 4872]",-88.41500459999999,49.4023884,48.63
"[2700, 4856]",-88.70292459999999,49.4203834,
"[2700, 4872]",-88.41500459999999,49.4203834,48.63
"[2700, 4873]",-88.39700959999999,49.4203834,48.63
"[2701, 4855]",-88.72091959999999,49.4383784,47.55
"[2701, 4856]",-88.70292459999999,49.4383784,47.55
"[2701, 4857]",-88.68492959999999,49.4383784,47.55
"[2701, 4858]",-88.66693459999999,49.4383784,47.55
"[2701, 4859]",-88.64893959999999,49.4383784,47.55
"[2701, 4860]",-88.63094459999999,49.4383784,47.91
"[2701, 4861]",-88.6129496,49.4383784,47.91
"[2701, 4862]",-88.5949546,49.4383784,47.91
"[2701, 4869]",-88.46898959999999,49.4383784,48.99
"[2701, 4870]",-88.45099459999999,49.4383784,48.99
"[2701, 4871]",-88.43299959999999,49.4383784,48.99
"[2701, 4872]",-88.41500459999999,49.4383784,48.99
"[2701, 4873]",-88.39700959999999,49.4383784,48.99
"[2701, 4874]",-88.37901459999999,49.4383784,48.99
"[2702, 4853]",-88.75690959999999,49.4563734,
"[2702, 4855]",-88.72091959999999,49.4563734,47.55
"[2702, 4856]",-88.70292459999999,49.4563734,47.55
"[2702, 4857]",-88.68492959999999,49.4563734,47.55
"[2702, 4858]",-88.66693459999999,49.4563734,47.55
"[2702, 4859]",-88.64893959999999,49.4563734,47.91
"[2702, 4860]",-88.63094459999999,49.4563734,47.91
"[2702, 4861]",-88.6129496,49.4563734,47.91
"[2702, 4862]",-88.5949546,49.4563734,47.91
"[2702, 4863]",-88.5769596,49.4563734,48.27
"[2702, 4866]",-88.52297459999998,49.4563734,48.27
"[2702, 4869]",-88.46898959999999,49.4563734,48.99
"[2702, 4870]",-88.45099459999999,49.4563734,48.99
"[2702, 4871]",-88.43299959999999,49.4563734,48.99
"[2702, 4872]",-88.41500459999999,49.4563734,48.99
"[2702, 4873]",-88.39700959999999,49.4563734,48.99
"[2702, 4874]",-88.37901459999999,49.4563734,49.35
"[2702, 4875]",-88.36101959999999,49.4563734,49.35
"[2703, 4853]",-88.75690959999999,49.4743684,47.55
"[2703, 4854]",-88.73891459999999,49.4743684,47.55
"[2703, 4855]",-88.72091959999999,49.4743684,47.55
"[2703, 4856]",-88.70292459999999,49.4743684,47.55
"[2703, 4857]",-88.68492959999999,49.4743684,47.55
"[2703, 4858]",-88.66693459999999,49.4743684,47.55
"[2703, 4859]",-88.64893959999999,49.4743684,47.91
"[2703, 4860]",-88.63094459999999,49.4743684,47.91
"[2703, 4861]",-88.6129496,49.4743684,47.91
"[2703, 4862]",-88.5949546,49.4743684,47.91
"[2703, 4863]",-88.5769596,49.4743684,48.27
"[2703, 4866]",-88.52297459999998,49.4743684,48.27
"[2703, 4869]",-88.46898959999999,49.4743684,48.99
"[2703, 4870]",-88.45099459999999,49.4743684,48.99
"[2703, 4871]",-88.43299959999999,49.4743684,48.99
"[2703, 4872]",-88.41500459999999,49.4743684,48.99
"[2703, 4873]",-88.39700959999999,49.4743684,48.99
"[2703, 4874]",-88.37901459999999,49.4743684,49.35
"[2703, 4875]",-88.36101959999999,49.4743684,49.71
"[2703, 4876]",-88.34302459999999,49.4743684,49.71
"[2703, 4877]",-88.3250296,49.4743684,49.71
"[2703, 4878]",-88.3070346,49.4743684,49.71
"[2703, 4879]",-88.2890396,49.4743684,49.71
"[2703, 4880]",-88.2710446,49.4743684,48.99
"[2703, 4881]",-88.25304959999998,49.4743684,48.99
"[2703, 4882]",-88.23505459999998,49.4743684,48.99
"[2703, 4883]",-88.21705959999998,49.4743684,48.99
"[2703, 4884]",-88.19906459999999,49.4743684,48.99
"[2703, 4885]",-88.18106959999999,49.4743684,48.63
"[2704, 4853]",-88.75690959999999,49.4923634,47.55
"[2704, 4854]",-88.73891459999999,49.4923634,47.55
"[2704, 4855]",-88.72091959999999,49.4923634,47.55
"[2704, 4856]",-88.70292459999999,49.4923634,47.55
"[2704, 4857]",-88.68492959999999,49.4923634,47.55
"[2704, 4858]",-88.66693459999999,49.4923634,47.55
"[2704, 4859]",-88.64893959999999,49.4923634,47.91
"[2704, 4860]",-88.63094459999999,49.4923634,47.91
"[2704, 4861]",-88.6129496,49.4923634,47.91
"[2704, 4862]",-88.5949546,49.4923634,47.91
"[2704, 4863]",-88.5769596,49.4923634,48.27
"[2704, 4866]",-88.52297459999998,49.4923634,48.27
"[2704, 4869]",-88.46898959999999,49.4923634,48.99
"[2704, 4870]",-88.45099459999999,49.4923634,48.99
"[2704, 4871]",-88.43299959999999,49.4923634,48.99
"[2704, 4872]",-88.41500459999999,49.4923634,48.99
"[2704, 4873]",-88.39700959999999,49.4923634,48.99
"[2704, 4874]",-88.37901459999999,49.4923634,49.35
"[2704, 4875]",-88.36101959999999,49.4923634,49.71
"[2704, 4876]",-88.34302459999999,49.4923634,49.71
"[2704, 4877]",-88.3250296,49.4923634,49.71
"[2704, 4878]",-88.3070346,49.4923634,49.71
"[2704, 4879]",-88.2890396,49.4923634,49.35
"[2704, 4880]",-88.2710446,49.4923634,48.99
"[2704, 4881]",-88.25304959999998,49.4923634,48.99
"[2704, 4882]",-88.23505459999998,49.4923634,48.99
"[2704, 4883]",-88.21705959999998,49.4923634,48.99
"[2704, 4884]",-88.19906459999999,49.4923634,48.99
"[2704, 4885]",-88.18106959999999,49.4923634,48.63
"[2705, 4842]",-88.95485459999999,49.5103584,46.83
"[2705, 4843]",-88.93685959999999,49.5103584,47.19
"[2705, 4844]",-88.91886459999999,49.5103584,
"[2705, 4845]",-88.9008696,49.5103584,
"[2705, 4855]",-88.72091959999999,49.5103584,47.55
"[2705, 4856]",-88.70292459999999,49.5103584,47.55
"[2705, 4857]",-88.68492959999999,49.5103584,47.55
"[2705, 4858]",-88.66693459999999,49.5103584,47.55
"[2705, 4859]",-88.64893959999999,49.5103584,47.91
"[2705, 4860]",-88.63094459999999,49.5103584,47.91
"[2705, 4861]",-88.6129496,49.5103584,47.91
"[2705, 4862]",-88.5949546,49.5103584,47.91
"[2705, 4868]",-88.48698459999999,49.5103584,48.99
"[2705, 4869]",-88.46898959999999,49.5103584,48.99
"[2705, 4870]",-88.45099459999999,49.5103584,48.99
"[2705, 4871]",-88.43299959999999,49.5103584,48.99
"[2705, 4872]",-88.41500459999999,49.5103584,48.99
"[2705, 4873]",-88.39700959999999,49.5103584,49.35
"[2705, 4874]",-88.37901459999999,49.5103584,49.35
"[2705, 4875]",-88.36101959999999,49.5103584,49.71
"[2705, 4876]",-88.34302459999999,49.5103584,49.71
"[2705, 4877]",-88.3250296,49.5103584,49.71
"[2705, 4878]",-88.3070346,49.5103584,49.71
"[2705, 4879]",-88.2890396,49.5103584,49.35
"[2705, 4880]",-88.2710446,49.5103584,48.99
"[2705, 4881]",-88.25304959999998,49.5103584,48.99
"[2705, 4882]",-88.23505459999998,49.5103584,48.99
"[2705, 4883]",-88.21705959999998,49.5103584,48.99
"[2705, 4884]",-88.19906459999999,49.5103584,48.99
"[2705, 4885]",-88.18106959999999,49.5103584,48.63
"[2706, 4839]",-89.00883959999999,49.5283534,46.83
"[2706, 4840]",-88.99084459999999,49.5283534,46.83
"[2706, 4842]",-88.95485459999999,49.5283534,46.83
"[2706, 4843]",-88.93685959999999,49.5283534,47.19
"[2706, 4844]",-88.91886459999999,49.5283534,47.19
"[2706, 4845]",-88.9008696,49.5283534,47.55
"[2706, 4846]",-88.8828746,49.5283534,47.91
"[2706, 4847]",-88.8648796,49.5283534,47.91
"[2706, 4848]",-88.8468846,49.5283534,47.91
"[2706, 4856]",-88.70292459999999,49.5283534,47.55
"[2706, 4857]",-88.68492959999999,49.5283534,47.55
"[2706, 4858]",-88.66693459999999,49.5283534,47.55
"[2706, 4859]",-88.64893959999999,49.5283534,47.91
"[2706, 4860]",-88.63094459999999,49.5283534,47.91
"[2706, 4861]",-88.6129496,49.5283534,47.91
"[2706, 4862]",-88.5949546,49.5283534,47.91
"[2706, 4866]",-88.52297459999998,49.5283534,48.63
"[2706, 4868]",-88.48698459999999,49.5283534,48.99
"[2706, 4869]",-88.46898959999999,49.5283534,48.99
"[2706, 4870]",-88.45099459999999,49.5283534,48.99
"[2706, 4871]",-88.43299959999999,49.5283534,48.99
"[2706, 4872]",-88.41500459999999,49.5283534,48.99
"[2706, 4873]",-88.39700959999999,49.5283534,49.35
"[2706, 4874]",-88.37901459999999,49.5283534,49.35
"[2706, 4875]",-88.36101959999999,49.5283534,49.71
"[2706, 4876]",-88.34302459999999,49.5283534,49.71
"[2706, 4877]",-88.3250296,49.5283534,49.71
"[2706, 4878]",-88.3070346,49.5283534,49.71
"[2706, 4879]",-88.2890396,49.5283534,49.35
"[2706, 4880]",-88.2710446,49.5283534,48.99
