sst_gridpoint,lon,lat,water_temp
"[1439, 5294]",-80.82111459999999,26.7286884,86.07
"[1439, 5296]",-80.78512459999999,26.7286884,86.43
"[1439, 5297]",-80.76712959999999,26.7286884,86.43
"[1440, 5294]",-80.82111459999999,26.7466834,86.43
"[1440, 5295]",-80.80311959999999,26.7466834,86.43
"[1440, 5296]",-80.78512459999999,26.7466834,86.43
"[1440, 5297]",-80.76712959999999,26.7466834,86.43
"[1440, 5298]",-80.74913459999999,26.7466834,86.43
"[1441, 5291]",-80.87509959999998,26.764678399999998,86.43
"[1441, 5292]",-80.85710459999999,26.764678399999998,86.79
"[1441, 5293]",-80.83910959999999,26.764678399999998,86.79
"[1441, 5294]",-80.82111459999999,26.764678399999998,86.43
"[1441, 5295]",-80.80311959999999,26.764678399999998,86.43
"[1441, 5296]",-80.78512459999999,26.764678399999998,86.43
"[1441, 5297]",-80.76712959999999,26.764678399999998,86.43
"[1441, 5298]",-80.74913459999999,26.764678399999998,86.43
"[1441, 5301]",-80.6951496,26.764678399999998,86.43
"[1442, 5289]",-80.91108959999998,26.7826734,86.79
"[1442, 5290]",-80.89309459999998,26.7826734,86.79
"[1442, 5291]",-80.87509959999998,26.7826734,86.43
"[1442, 5292]",-80.85710459999999,26.7826734,86.79
"[1442, 5293]",-80.83910959999999,26.7826734,86.43
"[1442, 5294]",-80.82111459999999,26.7826734,86.43
"[1442, 5295]",-80.80311959999999,26.7826734,86.43
"[1442, 5296]",-80.78512459999999,26.7826734,86.43
"[1442, 5297]",-80.76712959999999,26.7826734,86.43
"[1442, 5298]",-80.74913459999999,26.7826734,86.43
"[1442, 5299]",-80.73113959999999,26.7826734,86.43
"[1442, 5300]",-80.71314459999999,26.7826734,86.43
"[1443, 5289]",-80.91108959999998,26.8006684,86.79
"[1443, 5290]",-80.89309459999998,26.8006684,86.79
"[1443, 5291]",-80.87509959999998,26.8006684,86.79
"[1443, 5292]",-80.85710459999999,26.8006684,86.79
"[1443, 5293]",-80.83910959999999,26.8006684,86.43
"[1443, 5294]",-80.82111459999999,26.8006684,86.43
"[1443, 5295]",-80.80311959999999,26.8006684,86.43
"[1443, 5296]",-80.78512459999999,26.8006684,86.43
"[1443, 5297]",-80.76712959999999,26.8006684,86.43
"[1443, 5298]",-80.74913459999999,26.8006684,86.43
"[1443, 5299]",-80.73113959999999,26.8006684,86.43
"[1443, 5300]",-80.71314459999999,26.8006684,86.43
"[1444, 5289]",-80.91108959999998,26.8186634,86.79
"[1444, 5290]",-80.89309459999998,26.8186634,86.79
"[1444, 5291]",-80.87509959999998,26.8186634,86.79
"[1444, 5292]",-80.85710459999999,26.8186634,86.79
"[1444, 5293]",-80.83910959999999,26.8186634,86.43
