sst_gridpoint,lon,lat,water_temp
"[1624, 4765]",-90.34046959999999,30.0577634,86.79
"[1624, 4766]",-90.32247459999999,30.0577634,86.79
"[1624, 4767]",-90.3044796,30.0577634,86.79
"[1624, 4768]",-90.2864846,30.0577634,86.79
"[1624, 4769]",-90.2684896,30.0577634,86.79
"[1624, 4770]",-90.2504946,30.0577634,86.79
"[1624, 4771]",-90.23249959999998,30.0577634,86.79
"[1624, 4772]",-90.21450459999998,30.0577634,86.79
"[1624, 4773]",-90.19650959999998,30.0577634,86.79
"[1624, 4774]",-90.17851459999999,30.0577634,86.43
"[1624, 4775]",-90.16051959999999,30.0577634,86.43
"[1624, 4776]",-90.14252459999999,30.0577634,86.43
"[1624, 4777]",-90.12452959999999,30.0577634,86.43
"[1624, 4778]",-90.10653459999999,30.0577634,86.07
"[1624, 4779]",-90.08853959999999,30.0577634,86.43
"[1624, 4780]",-90.07054459999999,30.0577634,86.43
"[1624, 4781]",-90.05254959999999,30.0577634,86.43
"[1624, 4782]",-90.03455459999999,30.0577634,86.43
"[1624, 4783]",-90.0165596,30.0577634,86.43
"[1624, 4784]",-89.9985646,30.0577634,86.07
"[1624, 4785]",-89.9805696,30.0577634,86.07
"[1625, 4763]",-90.37645959999999,30.075758399999998,87.15
"[1625, 4764]",-90.35846459999999,30.075758399999998,87.15
"[1625, 4765]",-90.34046959999999,30.075758399999998,86.79
"[1625, 4766]",-90.32247459999999,30.075758399999998,86.79
"[1625, 4767]",-90.3044796,30.075758399999998,86.79
"[1625, 4768]",-90.2864846,30.075758399999998,86.79
"[1625, 4769]",-90.2684896,30.075758399999998,86.79
"[1625, 4770]",-90.2504946,30.075758399999998,86.79
"[1625, 4771]",-90.23249959999998,30.075758399999998,86.43
"[1625, 4772]",-90.21450459999998,30.075758399999998,86.43
"[1625, 4773]",-90.19650959999998,30.075758399999998,86.43
"[1625, 4774]",-90.17851459999999,30.075758399999998,86.43
"[1625, 4775]",-90.16051959999999,30.075758399999998,86.43
"[1625, 4776]",-90.14252459999999,30.075758399999998,86.43
"[1625, 4777]",-90.12452959999999,30.075758399999998,86.07
"[1625, 4778]",-90.10653459999999,30.075758399999998,86.07
"[1625, 4779]",-90.08853959999999,30.075758399999998,86.07
"[1625, 4780]",-90.07054459999999,30.075758399999998,86.07
"[1625, 4781]",-90.05254959999999,30.075758399999998,86.07
"[1625, 4782]",-90.03455459999999,30.075758399999998,86.43
"[1625, 4783]",-90.0165596,30.075758399999998,86.07
"[1625, 4784]",-89.9985646,30.075758399999998,86.07
"[1625, 4785]",-89.9805696,30.075758399999998,86.07
"[1625, 4786]",-89.9625746,30.075758399999998,86.07
"[1626, 4762]",-90.39445459999999,30.0937534,87.15
"[1626, 4763]",-90.37645959999999,30.0937534,86.79
"[1626, 4764]",-90.35846459999999,30.0937534,86.79
"[1626, 4765]",-90.34046959999999,30.0937534,86.79
"[1626, 4766]",-90.32247459999999,30.0937534,86.79
"[1626, 4767]",-90.3044796,30.0937534,86.79
"[1626, 4768]",-90.2864846,30.0937534,86.79
"[1626, 4769]",-90.2684896,30.0937534,86.79
"[1626, 4770]",-90.2504946,30.0937534,86.43
"[1626, 4771]",-90.23249959999998,30.0937534,86.43
"[1626, 4772]",-90.21450459999998,30.0937534,86.43
"[1626, 4773]",-90.19650959999998,30.0937534,86.43
"[1626, 4774]",-90.17851459999999,30.0937534,86.43
"[1626, 4775]",-90.16051959999999,30.0937534,86.43
"[1626, 4776]",-90.14252459999999,30.0937534,86.43
"[1626, 4777]",-90.12452959999999,30.0937534,86.07
"[1626, 4778]",-90.10653459999999,30.0937534,86.07
"[1626, 4779]",-90.08853959999999,30.0937534,86.07
"[1626, 4780]",-90.07054459999999,30.0937534,86.07
"[1626, 4781]",-90.05254959999999,30.0937534,86.07
"[1626, 4782]",-90.03455459999999,30.0937534,86.07
"[1626, 4783]",-90.0165596,30.0937534,86.07
"[1626, 4784]",-89.9985646,30.0937534,86.07
"[1626, 4785]",-89.9805696,30.0937534,86.07
"[1626, 4786]",-89.9625746,30.0937534,86.07
"[1626, 4787]",-89.94457959999998,30.0937534,86.07
"[1627, 4762]",-90.39445459999999,30.1117484,87.15
"[1627, 4763]",-90.37645959999999,30.1117484,86.79
"[1627, 4764]",-90.35846459999999,30.1117484,86.79
"[1627, 4765]",-90.34046959999999,30.1117484,86.79
"[1627, 4766]",-90.32247459999999,30.1117484,86.79
"[1627, 4767]",-90.3044796,30.1117484,86.79
"[1627, 4768]",-90.2864846,30.1117484,86.79
"[1627, 4769]",-90.2684896,30.1117484,86.79
"[1627, 4770]",-90.2504946,30.1117484,86.43
"[1627, 4771]",-90.23249959999998,30.1117484,86.43
"[1627, 4772]",-90.21450459999998,30.1117484,86.43
"[1627, 4773]",-90.19650959999998,30.1117484,86.43
"[1627, 4774]",-90.17851459999999,30.1117484,86.43
"[1627, 4775]",-90.16051959999999,30.1117484,86.07
"[1627, 4776]",-90.14252459999999,30.1117484,86.07
