sst_gridpoint,lon,lat,water_temp
"[2593, 4121]",-101.92924959999999,47.4949184,
"[2593, 4123]",-101.8932596,47.4949184,
"[2593, 4125]",-101.8572696,47.4949184,
"[2593, 4128]",-101.80328459999998,47.4949184,
"[2593, 4129]",-101.78528959999998,47.4949184,
"[2594, 4122]",-101.91125459999999,47.5129134,
"[2594, 4123]",-101.8932596,47.5129134,
"[2594, 4124]",-101.8752646,47.5129134,
"[2594, 4125]",-101.8572696,47.5129134,
"[2594, 4126]",-101.8392746,47.5129134,
"[2594, 4127]",-101.82127959999998,47.5129134,63.75
"[2594, 4128]",-101.80328459999998,47.5129134,
"[2594, 4129]",-101.78528959999998,47.5129134,
"[2595, 4118]",-101.98323459999999,47.5309084,
"[2595, 4119]",-101.96523959999999,47.5309084,
"[2595, 4120]",-101.94724459999999,47.5309084,
"[2595, 4121]",-101.92924959999999,47.5309084,
"[2595, 4122]",-101.91125459999999,47.5309084,
"[2595, 4123]",-101.8932596,47.5309084,
"[2595, 4124]",-101.8752646,47.5309084,63.03
"[2595, 4125]",-101.8572696,47.5309084,63.75
"[2595, 4126]",-101.8392746,47.5309084,63.75
"[2595, 4127]",-101.82127959999998,47.5309084,63.75
"[2595, 4128]",-101.80328459999998,47.5309084,64.11
"[2595, 4129]",-101.78528959999998,47.5309084,64.11
"[2595, 4130]",-101.76729459999999,47.5309084,
"[2595, 4131]",-101.74929959999999,47.5309084,
"[2595, 4132]",-101.73130459999999,47.5309084,
"[2595, 4133]",-101.71330959999999,47.5309084,
"[2595, 4134]",-101.69531459999999,47.5309084,
"[2595, 4135]",-101.67731959999999,47.5309084,
"[2595, 4136]",-101.65932459999999,47.5309084,
"[2595, 4137]",-101.64132959999999,47.5309084,
"[2595, 4138]",-101.62333459999999,47.5309084,
"[2595, 4139]",-101.6053396,47.5309084,
"[2595, 4140]",-101.5873446,47.5309084,
"[2595, 4151]",-101.38939959999999,47.5309084,
"[2596, 4114]",-102.05521459999999,47.5489034,
"[2596, 4115]",-102.03721959999999,47.5489034,
"[2596, 4116]",-102.01922459999999,47.5489034,
"[2596, 4117]",-102.00122959999999,47.5489034,
"[2596, 4118]",-101.98323459999999,47.5489034,
"[2596, 4119]",-101.96523959999999,47.5489034,63.39
"[2596, 4129]",-101.78528959999998,47.5489034,64.11
"[2596, 4138]",-101.62333459999999,47.5489034,64.11
"[2596, 4139]",-101.6053396,47.5489034,
"[2596, 4140]",-101.5873446,47.5489034,
"[2596, 4141]",-101.5693496,47.5489034,
"[2596, 4142]",-101.5513546,47.5489034,
"[2596, 4143]",-101.53335959999998,47.5489034,
"[2596, 4144]",-101.51536459999998,47.5489034,
"[2596, 4149]",-101.42538959999999,47.5489034,
"[2596, 4150]",-101.40739459999999,47.5489034,
"[2596, 4151]",-101.38939959999999,47.5489034,64.47
"[2596, 4152]",-101.37140459999999,47.5489034,64.47
"[2596, 4153]",-101.35340959999999,47.5489034,64.47
"[2597, 4111]",-102.1091996,47.5668984,
"[2597, 4113]",-102.07320959999998,47.5668984,
"[2597, 4114]",-102.05521459999999,47.5668984,
"[2597, 4115]",-102.03721959999999,47.5668984,
"[2597, 4116]",-102.01922459999999,47.5668984,63.39
"[2597, 4117]",-102.00122959999999,47.5668984,63.03
"[2597, 4141]",-101.5693496,47.5668984,
"[2597, 4142]",-101.5513546,47.5668984,
"[2597, 4143]",-101.53335959999998,47.5668984,
"[2597, 4144]",-101.51536459999998,47.5668984,
"[2597, 4145]",-101.49736959999998,47.5668984,
"[2597, 4146]",-101.47937459999999,47.5668984,
"[2597, 4147]",-101.46137959999999,47.5668984,
"[2597, 4148]",-101.44338459999999,47.5668984,
"[2597, 4149]",-101.42538959999999,47.5668984,
"[2597, 4150]",-101.40739459999999,47.5668984,
"[2597, 4151]",-101.38939959999999,47.5668984,64.47
"[2597, 4152]",-101.37140459999999,47.5668984,64.47
"[2597, 4153]",-101.35340959999999,47.5668984,64.47
"[2598, 4094]",-102.4151146,47.5848934,
"[2598, 4096]",-102.37912459999998,47.5848934,
"[2598, 4107]",-102.1811796,47.5848934,
"[2598, 4108]",-102.1631846,47.5848934,
"[2598, 4109]",-102.1451896,47.5848934,
"[2598, 4110]",-102.1271946,47.5848934,
"[2598, 4111]",-102.1091996,47.5848934,
"[2598, 4112]",-102.09120459999998,47.5848934,
"[2598, 4113]",-102.07320959999998,47.5848934,63.03
"[2598, 4114]",-102.05521459999999,47.5848934,63.39
"[2598, 4143]",-101.53335959999998,47.5848934,
"[2598, 4144]",-101.51536459999998,47.5848934,63.75
"[2598, 4145]",-101.49736959999998,47.5848934,63.39
"[2598, 4146]",-101.47937459999999,47.5848934,
"[2598, 4147]",-101.46137959999999,47.5848934,64.11
"[2598, 4148]",-101.44338459999999,47.5848934,64.47
"[2598, 4149]",-101.42538959999999,47.5848934,64.47
"[2598, 4150]",-101.40739459999999,47.5848934,64.47
"[2598, 4151]",-101.38939959999999,47.5848934,64.47
"[2598, 4153]",-101.35340959999999,47.5848934,64.47
"[2598, 4154]",-101.3354146,47.5848934,
"[2598, 4155]",-101.3174196,47.5848934,
"[2599, 4099]",-102.32513959999999,47.6028884,
"[2599, 4100]",-102.30714459999999,47.6028884,
"[2599, 4101]",-102.28914959999999,47.6028884,
"[2599, 4103]",-102.25315959999999,47.6028884,
"[2599, 4104]",-102.23516459999999,47.6028884,
"[2599, 4105]",-102.21716959999999,47.6028884,
"[2599, 4106]",-102.19917459999999,47.6028884,63.39
"[2599, 4107]",-102.1811796,47.6028884,63.39
"[2599, 4108]",-102.1631846,47.6028884,63.39
"[2599, 4109]",-102.1451896,47.6028884,63.39
"[2599, 4110]",-102.1271946,47.6028884,63.03
"[2599, 4155]",-101.3174196,47.6028884,64.11
"[2599, 4157]",-101.2814296,47.6028884,64.11
"[2599, 4159]",-101.24543959999998,47.6028884,
"[2599, 4160]",-101.22744459999998,47.6028884,
"[2599, 4162]",-101.19145459999999,47.6028884,
"[2599, 4163]",-101.17345959999999,47.6028884,
"[2600, 4102]",-102.27115459999999,47.6208834,
"[2600, 4103]",-102.25315959999999,47.6208834,
"[2600, 4104]",-102.23516459999999,47.6208834,
"[2600, 4160]",-101.22744459999998,47.6208834,
"[2600, 4161]",-101.20944959999999,47.6208834,
"[2600, 4162]",-101.19145459999999,47.6208834,
"[2600, 4163]",-101.17345959999999,47.6208834,
"[2601, 4103]",-102.25315959999999,47.6388784,
"[2601, 4104]",-102.23516459999999,47.6388784,63.03
"[2601, 4163]",-101.17345959999999,47.6388784,
"[2602, 4103]",-102.25315959999999,47.6568734,63.03
"[2602, 4104]",-102.23516459999999,47.6568734,63.03
"[2602, 4164]",-101.15546459999999,47.6568734,
"[2602, 4165]",-101.13746959999999,47.6568734,
"[2603, 4103]",-102.25315959999999,47.6748684,
"[2603, 4104]",-102.23516459999999,47.6748684,63.03
"[2604, 4104]",-102.23516459999999,47.6928634,63.03
"[2605, 4104]",-102.23516459999999,47.7108584,63.03
