sst_gridpoint,lon,lat,water_temp
"[2410, 5367]",-79.50747959999998,44.2018334,
"[2410, 5368]",-79.48948459999998,44.2018334,
"[2411, 5367]",-79.50747959999998,44.2198284,
"[2411, 5368]",-79.48948459999998,44.2198284,
"[2412, 5367]",-79.50747959999998,44.237823399999996,52.59
"[2412, 5368]",-79.48948459999998,44.237823399999996,52.59
"[2413, 5366]",-79.5254746,44.2558184,
"[2413, 5367]",-79.50747959999998,44.2558184,52.59
"[2413, 5368]",-79.48948459999998,44.2558184,52.59
"[2414, 5367]",-79.50747959999998,44.2738134,52.59
"[2415, 5367]",-79.50747959999998,44.2918084,54.03
"[2415, 5368]",-79.48948459999998,44.2918084,54.03
"[2415, 5369]",-79.47148959999998,44.2918084,53.67
"[2416, 5367]",-79.50747959999998,44.3098034,54.75
"[2416, 5368]",-79.48948459999998,44.3098034,54.75
"[2416, 5369]",-79.47148959999998,44.3098034,55.11
"[2416, 5370]",-79.45349459999998,44.3098034,55.47
"[2417, 5367]",-79.50747959999998,44.3277984,55.83
"[2417, 5368]",-79.48948459999998,44.3277984,55.83
"[2417, 5369]",-79.47148959999998,44.3277984,56.19
"[2417, 5370]",-79.45349459999998,44.3277984,56.91
"[2417, 5371]",-79.43549959999999,44.3277984,57.27
"[2417, 5372]",-79.41750459999999,44.3277984,57.27
"[2417, 5373]",-79.39950959999999,44.3277984,57.27
"[2417, 5374]",-79.38151459999999,44.3277984,56.91
"[2417, 5375]",-79.36351959999999,44.3277984,56.55
"[2417, 5376]",-79.34552459999999,44.3277984,55.47
"[2418, 5367]",-79.50747959999998,44.3457934,56.55
"[2418, 5368]",-79.48948459999998,44.3457934,56.91
"[2418, 5369]",-79.47148959999998,44.3457934,57.27
"[2418, 5370]",-79.45349459999998,44.3457934,58.35
"[2418, 5371]",-79.43549959999999,44.3457934,58.35
"[2418, 5372]",-79.41750459999999,44.3457934,58.35
"[2418, 5373]",-79.39950959999999,44.3457934,58.35
"[2418, 5374]",-79.38151459999999,44.3457934,57.99
"[2418, 5375]",-79.36351959999999,44.3457934,57.63
"[2418, 5376]",-79.34552459999999,44.3457934,56.55
"[2418, 5377]",-79.32752959999999,44.3457934,55.47
"[2418, 5378]",-79.30953459999999,44.3457934,54.75
"[2418, 5379]",-79.2915396,44.3457934,54.03
"[2418, 5380]",-79.2735446,44.3457934,53.31
"[2418, 5381]",-79.2555496,44.3457934,52.95
"[2418, 5382]",-79.2375546,44.3457934,52.95
"[2419, 5367]",-79.50747959999998,44.3637884,57.27
"[2419, 5368]",-79.48948459999998,44.3637884,57.99
"[2419, 5369]",-79.47148959999998,44.3637884,58.71
"[2419, 5370]",-79.45349459999998,44.3637884,59.43
"[2419, 5371]",-79.43549959999999,44.3637884,59.43
"[2419, 5372]",-79.41750459999999,44.3637884,59.07
"[2419, 5373]",-79.39950959999999,44.3637884,58.71
"[2419, 5374]",-79.38151459999999,44.3637884,58.35
"[2419, 5375]",-79.36351959999999,44.3637884,58.35
