sst_gridpoint,lon,lat,water_temp
"[2389, 4872]",-88.41500459999999,43.8239384,78.51
"[2389, 4873]",-88.39700959999999,43.8239384,78.15
"[2390, 4871]",-88.43299959999999,43.8419334,78.15
"[2390, 4872]",-88.41500459999999,43.8419334,78.51
"[2390, 4873]",-88.39700959999999,43.8419334,78.51
"[2391, 4871]",-88.43299959999999,43.8599284,
"[2391, 4872]",-88.41500459999999,43.8599284,78.15
"[2391, 4873]",-88.39700959999999,43.8599284,78.15
"[2391, 4874]",-88.37901459999999,43.8599284,77.79
"[2392, 4870]",-88.45099459999999,43.8779234,
"[2392, 4871]",-88.43299959999999,43.8779234,
"[2392, 4872]",-88.41500459999999,43.8779234,78.15
"[2392, 4873]",-88.39700959999999,43.8779234,77.79
"[2392, 4874]",-88.37901459999999,43.8779234,77.43
"[2393, 4870]",-88.45099459999999,43.8959184,
"[2393, 4871]",-88.43299959999999,43.8959184,
"[2393, 4872]",-88.41500459999999,43.8959184,77.43
"[2393, 4873]",-88.39700959999999,43.8959184,77.43
"[2393, 4874]",-88.37901459999999,43.8959184,77.43
"[2393, 4875]",-88.36101959999999,43.8959184,77.07
"[2394, 4871]",-88.43299959999999,43.9139134,
"[2394, 4872]",-88.41500459999999,43.9139134,77.43
"[2394, 4873]",-88.39700959999999,43.9139134,77.43
"[2394, 4874]",-88.37901459999999,43.9139134,77.07
"[2394, 4875]",-88.36101959999999,43.9139134,76.71
"[2394, 4876]",-88.34302459999999,43.9139134,76.35
"[2395, 4870]",-88.45099459999999,43.9319084,77.07
"[2395, 4871]",-88.43299959999999,43.9319084,77.43
"[2395, 4872]",-88.41500459999999,43.9319084,77.43
"[2395, 4873]",-88.39700959999999,43.9319084,77.43
"[2395, 4874]",-88.37901459999999,43.9319084,77.07
"[2395, 4875]",-88.36101959999999,43.9319084,77.07
"[2395, 4876]",-88.34302459999999,43.9319084,77.07
"[2395, 4877]",-88.3250296,43.9319084,77.07
"[2396, 4869]",-88.46898959999999,43.9499034,76.71
"[2396, 4870]",-88.45099459999999,43.9499034,77.07
"[2396, 4871]",-88.43299959999999,43.9499034,77.43
"[2396, 4872]",-88.41500459999999,43.9499034,77.43
"[2396, 4873]",-88.39700959999999,43.9499034,77.43
"[2396, 4874]",-88.37901459999999,43.9499034,77.43
"[2396, 4875]",-88.36101959999999,43.9499034,77.43
"[2396, 4876]",-88.34302459999999,43.9499034,77.43
"[2396, 4877]",-88.3250296,43.9499034,77.43
"[2397, 4868]",-88.48698459999999,43.9678984,
