sst_gridpoint,lon,lat,water_temp
"[2754, 4403]",-96.85465959999999,50.3921134,
"[2755, 4402]",-96.87265459999999,50.4101084,75.63
"[2755, 4403]",-96.85465959999999,50.4101084,76.35
"[2755, 4404]",-96.83666459999999,50.4101084,77.43
"[2755, 4405]",-96.81866959999999,50.4101084,
"[2755, 4406]",-96.8006746,50.4101084,77.43
"[2755, 4407]",-96.7826796,50.4101084,
"[2755, 4408]",-96.7646846,50.4101084,77.43
"[2755, 4409]",-96.7466896,50.4101084,77.07
"[2755, 4410]",-96.72869459999998,50.4101084,
"[2755, 4411]",-96.71069959999998,50.4101084,77.79
"[2755, 4412]",-96.69270459999998,50.4101084,77.43
"[2755, 4413]",-96.67470959999999,50.4101084,
"[2756, 4400]",-96.90864459999999,50.4281034,74.55
"[2756, 4401]",-96.89064959999999,50.4281034,74.91
"[2756, 4402]",-96.87265459999999,50.4281034,75.27
"[2756, 4403]",-96.85465959999999,50.4281034,76.35
"[2756, 4404]",-96.83666459999999,50.4281034,77.07
"[2756, 4405]",-96.81866959999999,50.4281034,76.71
"[2756, 4406]",-96.8006746,50.4281034,76.71
"[2756, 4407]",-96.7826796,50.4281034,77.07
"[2756, 4408]",-96.7646846,50.4281034,76.71
"[2756, 4409]",-96.7466896,50.4281034,76.71
"[2756, 4410]",-96.72869459999998,50.4281034,77.43
"[2756, 4411]",-96.71069959999998,50.4281034,77.43
"[2756, 4412]",-96.69270459999998,50.4281034,77.07
"[2756, 4413]",-96.67470959999999,50.4281034,77.43
"[2756, 4414]",-96.65671459999999,50.4281034,77.79
"[2756, 4415]",-96.63871959999999,50.4281034,77.07
"[2757, 4400]",-96.90864459999999,50.4460984,74.55
"[2757, 4401]",-96.89064959999999,50.4460984,74.91
"[2757, 4402]",-96.87265459999999,50.4460984,75.27
"[2757, 4403]",-96.85465959999999,50.4460984,75.99
"[2757, 4404]",-96.83666459999999,50.4460984,76.35
"[2757, 4405]",-96.81866959999999,50.4460984,76.35
"[2757, 4406]",-96.8006746,50.4460984,76.35
"[2757, 4407]",-96.7826796,50.4460984,76.71
"[2757, 4408]",-96.7646846,50.4460984,76.71
"[2757, 4409]",-96.7466896,50.4460984,76.35
"[2757, 4410]",-96.72869459999998,50.4460984,76.35
"[2757, 4411]",-96.71069959999998,50.4460984,76.71
"[2757, 4412]",-96.69270459999998,50.4460984,76.35
"[2757, 4413]",-96.67470959999999,50.4460984,76.71
"[2757, 4414]",-96.65671459999999,50.4460984,77.07
"[2757, 4415]",-96.63871959999999,50.4460984,76.71
"[2757, 4416]",-96.62072459999999,50.4460984,75.99
"[2758, 4400]",-96.90864459999999,50.4640934,74.19
"[2758, 4401]",-96.89064959999999,50.4640934,74.55
"[2758, 4402]",-96.87265459999999,50.4640934,74.91
"[2758, 4403]",-96.85465959999999,50.4640934,75.27
"[2758, 4404]",-96.83666459999999,50.4640934,75.99
"[2758, 4405]",-96.81866959999999,50.4640934,75.99
"[2758, 4406]",-96.8006746,50.4640934,75.99
"[2758, 4407]",-96.7826796,50.4640934,75.99
"[2758, 4408]",-96.7646846,50.4640934,75.99
"[2758, 4409]",-96.7466896,50.4640934,75.99
"[2758, 4410]",-96.72869459999998,50.4640934,75.99
"[2758, 4411]",-96.71069959999998,50.4640934,75.99
"[2758, 4412]",-96.69270459999998,50.4640934,76.35
"[2758, 4413]",-96.67470959999999,50.4640934,76.35
"[2758, 4414]",-96.65671459999999,50.4640934,76.71
"[2758, 4415]",-96.63871959999999,50.4640934,76.35
"[2758, 4416]",-96.62072459999999,50.4640934,75.99
"[2759, 4400]",-96.90864459999999,50.4820884,74.19
"[2759, 4401]",-96.89064959999999,50.4820884,74.55
"[2759, 4402]",-96.87265459999999,50.4820884,74.55
"[2759, 4403]",-96.85465959999999,50.4820884,75.27
"[2759, 4404]",-96.83666459999999,50.4820884,75.63
"[2759, 4405]",-96.81866959999999,50.4820884,75.63
"[2759, 4406]",-96.8006746,50.4820884,75.99
"[2759, 4407]",-96.7826796,50.4820884,75.99
"[2759, 4408]",-96.7646846,50.4820884,75.99
"[2759, 4409]",-96.7466896,50.4820884,75.99
"[2759, 4410]",-96.72869459999998,50.4820884,75.99
"[2759, 4411]",-96.71069959999998,50.4820884,76.35
"[2759, 4412]",-96.69270459999998,50.4820884,76.35
"[2759, 4413]",-96.67470959999999,50.4820884,76.35
"[2759, 4414]",-96.65671459999999,50.4820884,76.71
"[2759, 4415]",-96.63871959999999,50.4820884,76.71
"[2759, 4416]",-96.62072459999999,50.4820884,76.35
"[2760, 4400]",-96.90864459999999,50.5000834,74.19
"[2760, 4401]",-96.89064959999999,50.5000834,74.55
"[2760, 4402]",-96.87265459999999,50.5000834,74.55
"[2760, 4403]",-96.85465959999999,50.5000834,74.91
"[2760, 4404]",-96.83666459999999,50.5000834,75.27
"[2760, 4405]",-96.81866959999999,50.5000834,75.63
"[2760, 4406]",-96.8006746,50.5000834,75.99
"[2760, 4407]",-96.7826796,50.5000834,75.99
"[2760, 4408]",-96.7646846,50.5000834,75.99
"[2760, 4409]",-96.7466896,50.5000834,75.99
"[2760, 4410]",-96.72869459999998,50.5000834,76.35
"[2760, 4411]",-96.71069959999998,50.5000834,76.35
"[2760, 4412]",-96.69270459999998,50.5000834,76.35
"[2760, 4413]",-96.67470959999999,50.5000834,76.35
"[2760, 4414]",-96.65671459999999,50.5000834,76.35
"[2760, 4415]",-96.63871959999999,50.5000834,76.35
"[2760, 4416]",-96.62072459999999,50.5000834,76.35
"[2761, 4400]",-96.90864459999999,50.5180784,73.83
"[2761, 4401]",-96.89064959999999,50.5180784,74.19
"[2761, 4402]",-96.87265459999999,50.5180784,74.19
"[2761, 4403]",-96.85465959999999,50.5180784,74.91
"[2761, 4404]",-96.83666459999999,50.5180784,74.91
"[2761, 4405]",-96.81866959999999,50.5180784,75.27
"[2761, 4406]",-96.8006746,50.5180784,75.63
"[2761, 4407]",-96.7826796,50.5180784,75.99
"[2761, 4408]",-96.7646846,50.5180784,75.99
"[2761, 4409]",-96.7466896,50.5180784,76.35
"[2761, 4410]",-96.72869459999998,50.5180784,76.35
"[2761, 4411]",-96.71069959999998,50.5180784,76.35
"[2761, 4412]",-96.69270459999998,50.5180784,76.35
"[2761, 4413]",-96.67470959999999,50.5180784,76.35
"[2761, 4414]",-96.65671459999999,50.5180784,76.35
"[2761, 4415]",-96.63871959999999,50.5180784,76.35
"[2761, 4416]",-96.62072459999999,50.5180784,76.35
"[2762, 4398]",-96.94463459999999,50.5360734,73.11
"[2762, 4399]",-96.92663959999999,50.5360734,73.47
"[2762, 4400]",-96.90864459999999,50.5360734,73.47
"[2762, 4401]",-96.89064959999999,50.5360734,74.19
"[2762, 4402]",-96.87265459999999,50.5360734,74.19
"[2762, 4403]",-96.85465959999999,50.5360734,74.55
"[2762, 4404]",-96.83666459999999,50.5360734,74.91
"[2762, 4405]",-96.81866959999999,50.5360734,75.27
"[2762, 4406]",-96.8006746,50.5360734,75.63
"[2762, 4407]",-96.7826796,50.5360734,75.99
"[2762, 4408]",-96.7646846,50.5360734,75.99
"[2762, 4409]",-96.7466896,50.5360734,76.35
"[2762, 4410]",-96.72869459999998,50.5360734,76.35
"[2762, 4411]",-96.71069959999998,50.5360734,76.35
"[2762, 4412]",-96.69270459999998,50.5360734,76.71
"[2762, 4413]",-96.67470959999999,50.5360734,76.71
"[2762, 4414]",-96.65671459999999,50.5360734,76.35
"[2762, 4415]",-96.63871959999999,50.5360734,76.35
"[2763, 4397]",-96.96262959999999,50.5540684,72.75
"[2763, 4398]",-96.94463459999999,50.5540684,73.11
"[2763, 4399]",-96.92663959999999,50.5540684,73.47
"[2763, 4400]",-96.90864459999999,50.5540684,73.47
"[2763, 4401]",-96.89064959999999,50.5540684,74.19
"[2763, 4402]",-96.87265459999999,50.5540684,74.19
"[2763, 4403]",-96.85465959999999,50.5540684,74.55
"[2763, 4404]",-96.83666459999999,50.5540684,74.91
"[2763, 4405]",-96.81866959999999,50.5540684,75.27
"[2763, 4406]",-96.8006746,50.5540684,75.63
"[2763, 4407]",-96.7826796,50.5540684,75.63
"[2763, 4408]",-96.7646846,50.5540684,75.99
"[2763, 4409]",-96.7466896,50.5540684,76.35
"[2763, 4410]",-96.72869459999998,50.5540684,76.35
"[2763, 4411]",-96.71069959999998,50.5540684,76.35
"[2763, 4412]",-96.69270459999998,50.5540684,76.71
"[2763, 4413]",-96.67470959999999,50.5540684,76.71
"[2763, 4414]",-96.65671459999999,50.5540684,76.35
"[2763, 4415]",-96.63871959999999,50.5540684,76.35
"[2764, 4397]",-96.96262959999999,50.5720634,72.75
"[2764, 4398]",-96.94463459999999,50.5720634,73.11
"[2764, 4399]",-96.92663959999999,50.5720634,73.11
"[2764, 4400]",-96.90864459999999,50.5720634,73.47
"[2764, 4401]",-96.89064959999999,50.5720634,73.83
"[2764, 4402]",-96.87265459999999,50.5720634,74.19
"[2764, 4403]",-96.85465959999999,50.5720634,74.55
"[2764, 4404]",-96.83666459999999,50.5720634,74.55
"[2764, 4405]",-96.81866959999999,50.5720634,75.27
"[2764, 4406]",-96.8006746,50.5720634,75.27
"[2764, 4407]",-96.7826796,50.5720634,75.63
"[2764, 4408]",-96.7646846,50.5720634,75.99
"[2764, 4409]",-96.7466896,50.5720634,75.99
"[2764, 4410]",-96.72869459999998,50.5720634,76.35
"[2764, 4411]",-96.71069959999998,50.5720634,76.35
"[2764, 4412]",-96.69270459999998,50.5720634,76.71
"[2764, 4413]",-96.67470959999999,50.5720634,76.71
"[2764, 4414]",-96.65671459999999,50.5720634,76.71
"[2764, 4415]",-96.63871959999999,50.5720634,76.71
"[2764, 4416]",-96.62072459999999,50.5720634,76.35
"[2765, 4397]",-96.96262959999999,50.5900584,72.75
"[2765, 4398]",-96.94463459999999,50.5900584,73.11
"[2765, 4399]",-96.92663959999999,50.5900584,73.47
"[2765, 4400]",-96.90864459999999,50.5900584,73.83
"[2765, 4401]",-96.89064959999999,50.5900584,73.83
"[2765, 4402]",-96.87265459999999,50.5900584,74.19
"[2765, 4403]",-96.85465959999999,50.5900584,74.55
"[2765, 4404]",-96.83666459999999,50.5900584,74.55
"[2765, 4405]",-96.81866959999999,50.5900584,75.27
"[2765, 4406]",-96.8006746,50.5900584,75.27
"[2765, 4407]",-96.7826796,50.5900584,75.63
"[2765, 4408]",-96.7646846,50.5900584,75.63
"[2765, 4409]",-96.7466896,50.5900584,75.99
"[2765, 4410]",-96.72869459999998,50.5900584,75.99
"[2765, 4411]",-96.71069959999998,50.5900584,76.35
"[2765, 4412]",-96.69270459999998,50.5900584,76.35
"[2765, 4413]",-96.67470959999999,50.5900584,76.35
"[2765, 4414]",-96.65671459999999,50.5900584,76.71
"[2765, 4415]",-96.63871959999999,50.5900584,76.71
"[2765, 4416]",-96.62072459999999,50.5900584,76.71
"[2766, 4398]",-96.94463459999999,50.6080534,73.11
"[2766, 4399]",-96.92663959999999,50.6080534,73.47
"[2766, 4400]",-96.90864459999999,50.6080534,73.83
"[2766, 4401]",-96.89064959999999,50.6080534,73.83
"[2766, 4402]",-96.87265459999999,50.6080534,74.19
"[2766, 4403]",-96.85465959999999,50.6080534,74.55
"[2766, 4404]",-96.83666459999999,50.6080534,74.55
"[2766, 4405]",-96.81866959999999,50.6080534,74.91
"[2766, 4406]",-96.8006746,50.6080534,75.27
"[2766, 4407]",-96.7826796,50.6080534,75.27
"[2766, 4408]",-96.7646846,50.6080534,75.63
"[2766, 4409]",-96.7466896,50.6080534,75.63
"[2766, 4410]",-96.72869459999998,50.6080534,75.63
"[2766, 4411]",-96.71069959999998,50.6080534,75.99
"[2766, 4412]",-96.69270459999998,50.6080534,75.99
"[2766, 4413]",-96.67470959999999,50.6080534,76.35
"[2766, 4414]",-96.65671459999999,50.6080534,76.71
"[2766, 4415]",-96.63871959999999,50.6080534,77.07
"[2766, 4416]",-96.62072459999999,50.6080534,77.07
"[2766, 4417]",-96.60272959999999,50.6080534,77.07
"[2767, 4397]",-96.96262959999999,50.6260484,72.75
"[2767, 4398]",-96.94463459999999,50.6260484,72.75
"[2767, 4399]",-96.92663959999999,50.6260484,73.11
"[2767, 4400]",-96.90864459999999,50.6260484,73.47
"[2767, 4401]",-96.89064959999999,50.6260484,73.83
"[2767, 4402]",-96.87265459999999,50.6260484,74.19
"[2767, 4403]",-96.85465959999999,50.6260484,74.55
"[2767, 4404]",-96.83666459999999,50.6260484,74.55
"[2767, 4405]",-96.81866959999999,50.6260484,74.91
"[2767, 4406]",-96.8006746,50.6260484,74.91
"[2767, 4407]",-96.7826796,50.6260484,75.27
"[2767, 4408]",-96.7646846,50.6260484,75.27
"[2767, 4409]",-96.7466896,50.6260484,75.63
"[2767, 4410]",-96.72869459999998,50.6260484,75.63
"[2767, 4411]",-96.71069959999998,50.6260484,75.63
"[2767, 4412]",-96.69270459999998,50.6260484,75.99
"[2767, 4413]",-96.67470959999999,50.6260484,75.99
"[2767, 4414]",-96.65671459999999,50.6260484,76.71
"[2767, 4415]",-96.63871959999999,50.6260484,77.07
"[2767, 4416]",-96.62072459999999,50.6260484,77.43
"[2767, 4417]",-96.60272959999999,50.6260484,77.43
"[2767, 4431]",-96.35079959999999,50.6260484,72.39
"[2768, 4397]",-96.96262959999999,50.6440434,72.39
"[2768, 4398]",-96.94463459999999,50.6440434,72.75
"[2768, 4399]",-96.92663959999999,50.6440434,73.11
"[2768, 4400]",-96.90864459999999,50.6440434,73.47
"[2768, 4401]",-96.89064959999999,50.6440434,73.83
"[2768, 4402]",-96.87265459999999,50.6440434,74.19
"[2768, 4403]",-96.85465959999999,50.6440434,74.19
"[2768, 4404]",-96.83666459999999,50.6440434,74.55
"[2768, 4405]",-96.81866959999999,50.6440434,74.91
"[2768, 4406]",-96.8006746,50.6440434,74.91
"[2768, 4407]",-96.7826796,50.6440434,75.27
"[2768, 4408]",-96.7646846,50.6440434,75.27
"[2768, 4409]",-96.7466896,50.6440434,75.63
"[2768, 4410]",-96.72869459999998,50.6440434,75.63
"[2768, 4411]",-96.71069959999998,50.6440434,75.63
"[2768, 4412]",-96.69270459999998,50.6440434,75.99
"[2768, 4413]",-96.67470959999999,50.6440434,75.99
"[2768, 4414]",-96.65671459999999,50.6440434,76.71
"[2768, 4415]",-96.63871959999999,50.6440434,77.43
"[2768, 4416]",-96.62072459999999,50.6440434,77.43
"[2768, 4417]",-96.60272959999999,50.6440434,77.79
"[2768, 4427]",-96.42277959999998,50.6440434,
"[2768, 4428]",-96.40478459999999,50.6440434,73.83
"[2768, 4429]",-96.38678959999999,50.6440434,73.83
"[2768, 4430]",-96.36879459999999,50.6440434,73.47
"[2768, 4431]",-96.35079959999999,50.6440434,73.11
"[2768, 4432]",-96.33280459999999,50.6440434,72.75
"[2769, 4397]",-96.96262959999999,50.6620384,72.39
"[2769, 4398]",-96.94463459999999,50.6620384,72.75
"[2769, 4399]",-96.92663959999999,50.6620384,72.75
"[2769, 4400]",-96.90864459999999,50.6620384,73.47
"[2769, 4401]",-96.89064959999999,50.6620384,73.47
"[2769, 4402]",-96.87265459999999,50.6620384,73.83
"[2769, 4403]",-96.85465959999999,50.6620384,74.19
"[2769, 4404]",-96.83666459999999,50.6620384,74.55
"[2769, 4405]",-96.81866959999999,50.6620384,74.55
"[2769, 4406]",-96.8006746,50.6620384,74.91
"[2769, 4407]",-96.7826796,50.6620384,74.91
"[2769, 4408]",-96.7646846,50.6620384,75.27
"[2769, 4409]",-96.7466896,50.6620384,75.27
"[2769, 4410]",-96.72869459999998,50.6620384,75.63
"[2769, 4411]",-96.71069959999998,50.6620384,75.63
"[2769, 4412]",-96.69270459999998,50.6620384,75.63
"[2769, 4413]",-96.67470959999999,50.6620384,75.99
"[2769, 4414]",-96.65671459999999,50.6620384,76.71
"[2769, 4415]",-96.63871959999999,50.6620384,77.07
"[2769, 4416]",-96.62072459999999,50.6620384,77.07
"[2769, 4417]",-96.60272959999999,50.6620384,77.43
"[2769, 4425]",-96.4587696,50.6620384,
"[2769, 4426]",-96.44077459999998,50.6620384,
"[2769, 4428]",-96.40478459999999,50.6620384,74.19
"[2769, 4429]",-96.38678959999999,50.6620384,74.19
"[2769, 4430]",-96.36879459999999,50.6620384,73.83
"[2769, 4431]",-96.35079959999999,50.6620384,73.47
"[2770, 4397]",-96.96262959999999,50.6800334,72.39
"[2770, 4398]",-96.94463459999999,50.6800334,72.39
"[2770, 4399]",-96.92663959999999,50.6800334,72.75
"[2770, 4400]",-96.90864459999999,50.6800334,73.11
"[2770, 4401]",-96.89064959999999,50.6800334,73.47
"[2770, 4402]",-96.87265459999999,50.6800334,73.83
"[2770, 4403]",-96.85465959999999,50.6800334,74.19
"[2770, 4404]",-96.83666459999999,50.6800334,74.55
"[2770, 4405]",-96.81866959999999,50.6800334,74.55
"[2770, 4406]",-96.8006746,50.6800334,74.91
"[2770, 4407]",-96.7826796,50.6800334,74.91
"[2770, 4408]",-96.7646846,50.6800334,75.27
"[2770, 4409]",-96.7466896,50.6800334,75.27
"[2770, 4410]",-96.72869459999998,50.6800334,75.63
"[2770, 4411]",-96.71069959999998,50.6800334,75.63
