sst_gridpoint,lon,lat,water_temp
"[2669, 4520]",-94.74924459999998,48.8625384,71.31
"[2669, 4521]",-94.73124959999998,48.8625384,71.67
"[2669, 4522]",-94.71325459999998,48.8625384,71.67
"[2670, 4514]",-94.85721459999999,48.8805334,70.95
"[2670, 4515]",-94.83921959999999,48.8805334,71.31
"[2670, 4516]",-94.8212246,48.8805334,71.31
"[2670, 4517]",-94.8032296,48.8805334,71.31
"[2670, 4518]",-94.7852346,48.8805334,71.31
"[2670, 4519]",-94.7672396,48.8805334,70.95
"[2670, 4520]",-94.74924459999998,48.8805334,71.31
"[2670, 4521]",-94.73124959999998,48.8805334,71.31
"[2670, 4522]",-94.71325459999998,48.8805334,71.67
"[2670, 4523]",-94.69525959999999,48.8805334,72.03
"[2670, 4524]",-94.67726459999999,48.8805334,72.39
"[2671, 4492]",-95.25310459999999,48.8985284,72.39
"[2671, 4493]",-95.23510959999999,48.8985284,72.03
"[2671, 4494]",-95.21711459999999,48.8985284,71.67
"[2671, 4495]",-95.19911959999999,48.8985284,72.03
"[2671, 4496]",-95.18112459999999,48.8985284,72.03
"[2671, 4497]",-95.16312959999999,48.8985284,72.03
"[2671, 4498]",-95.14513459999999,48.8985284,72.39
"[2671, 4499]",-95.12713959999999,48.8985284,72.75
"[2671, 4514]",-94.85721459999999,48.8985284,70.95
"[2671, 4515]",-94.83921959999999,48.8985284,70.95
"[2671, 4516]",-94.8212246,48.8985284,70.95
"[2671, 4517]",-94.8032296,48.8985284,71.31
"[2671, 4518]",-94.7852346,48.8985284,70.95
"[2671, 4519]",-94.7672396,48.8985284,70.95
"[2671, 4520]",-94.74924459999998,48.8985284,71.31
"[2671, 4521]",-94.73124959999998,48.8985284,71.31
"[2671, 4522]",-94.71325459999998,48.8985284,71.31
"[2671, 4523]",-94.69525959999999,48.8985284,71.67
"[2671, 4524]",-94.67726459999999,48.8985284,72.03
"[2671, 4525]",-94.65926959999999,48.8985284,72.39
"[2672, 4490]",-95.28909459999998,48.9165234,
"[2672, 4491]",-95.27109959999999,48.9165234,71.67
"[2672, 4492]",-95.25310459999999,48.9165234,72.39
"[2672, 4493]",-95.23510959999999,48.9165234,72.03
"[2672, 4494]",-95.21711459999999,48.9165234,71.67
"[2672, 4495]",-95.19911959999999,48.9165234,71.67
"[2672, 4496]",-95.18112459999999,48.9165234,71.67
"[2672, 4497]",-95.16312959999999,48.9165234,72.03
"[2672, 4498]",-95.14513459999999,48.9165234,72.03
"[2672, 4499]",-95.12713959999999,48.9165234,72.39
"[2672, 4500]",-95.1091446,48.9165234,72.39
"[2672, 4514]",-94.85721459999999,48.9165234,71.31
"[2672, 4515]",-94.83921959999999,48.9165234,70.95
"[2672, 4516]",-94.8212246,48.9165234,70.95
"[2672, 4517]",-94.8032296,48.9165234,70.95
"[2672, 4518]",-94.7852346,48.9165234,70.95
"[2672, 4519]",-94.7672396,48.9165234,70.95
"[2672, 4520]",-94.74924459999998,48.9165234,70.95
"[2672, 4521]",-94.73124959999998,48.9165234,70.95
"[2672, 4522]",-94.71325459999998,48.9165234,71.31
"[2672, 4523]",-94.69525959999999,48.9165234,71.31
"[2672, 4524]",-94.67726459999999,48.9165234,71.67
"[2672, 4525]",-94.65926959999999,48.9165234,72.03
"[2672, 4526]",-94.64127459999999,48.9165234,72.03
"[2673, 4489]",-95.30708959999998,48.9345184,71.31
"[2673, 4490]",-95.28909459999998,48.9345184,71.67
"[2673, 4491]",-95.27109959999999,48.9345184,71.67
"[2673, 4492]",-95.25310459999999,48.9345184,72.39
"[2673, 4493]",-95.23510959999999,48.9345184,72.03
"[2673, 4494]",-95.21711459999999,48.9345184,72.03
"[2673, 4495]",-95.19911959999999,48.9345184,72.03
"[2673, 4496]",-95.18112459999999,48.9345184,72.03
"[2673, 4497]",-95.16312959999999,48.9345184,72.03
"[2673, 4498]",-95.14513459999999,48.9345184,72.03
"[2673, 4499]",-95.12713959999999,48.9345184,72.03
"[2673, 4500]",-95.1091446,48.9345184,72.39
"[2673, 4501]",-95.0911496,48.9345184,72.39
"[2673, 4512]",-94.89320459999999,48.9345184,71.67
"[2673, 4513]",-94.87520959999999,48.9345184,71.31
"[2673, 4514]",-94.85721459999999,48.9345184,71.31
"[2673, 4515]",-94.83921959999999,48.9345184,70.95
"[2673, 4516]",-94.8212246,48.9345184,70.95
"[2673, 4517]",-94.8032296,48.9345184,70.95
"[2673, 4518]",-94.7852346,48.9345184,70.59
"[2673, 4519]",-94.7672396,48.9345184,70.59
"[2673, 4520]",-94.74924459999998,48.9345184,70.95
"[2673, 4521]",-94.73124959999998,48.9345184,70.95
"[2673, 4522]",-94.71325459999998,48.9345184,70.95
"[2673, 4523]",-94.69525959999999,48.9345184,71.31
"[2673, 4524]",-94.67726459999999,48.9345184,71.31
"[2673, 4525]",-94.65926959999999,48.9345184,71.67
"[2673, 4526]",-94.64127459999999,48.9345184,72.03
"[2673, 4527]",-94.62327959999999,48.9345184,72.39
"[2673, 4528]",-94.60528459999999,48.9345184,72.39
"[2674, 4489]",-95.30708959999998,48.9525134,71.31
"[2674, 4490]",-95.28909459999998,48.9525134,71.67
"[2674, 4491]",-95.27109959999999,48.9525134,71.67
