sst_gridpoint,lon,lat,water_temp
"[2615, 4493]",-95.23510959999999,47.8908084,72.39
"[2615, 4494]",-95.21711459999999,47.8908084,72.39
"[2615, 4495]",-95.19911959999999,47.8908084,72.75
"[2615, 4496]",-95.18112459999999,47.8908084,73.11
"[2615, 4497]",-95.16312959999999,47.8908084,73.47
"[2615, 4498]",-95.14513459999999,47.8908084,73.83
"[2615, 4499]",-95.12713959999999,47.8908084,73.83
"[2615, 4500]",-95.1091446,47.8908084,73.47
"[2615, 4501]",-95.0911496,47.8908084,73.47
"[2615, 4502]",-95.0731546,47.8908084,73.47
"[2615, 4503]",-95.0551596,47.8908084,73.47
"[2615, 4504]",-95.03716459999998,47.8908084,73.47
"[2615, 4505]",-95.01916959999998,47.8908084,73.47
"[2615, 4506]",-95.00117459999998,47.8908084,73.47
"[2615, 4507]",-94.98317959999999,47.8908084,73.83
"[2615, 4508]",-94.96518459999999,47.8908084,73.83
"[2615, 4509]",-94.94718959999999,47.8908084,73.83
"[2615, 4510]",-94.92919459999999,47.8908084,73.83
"[2615, 4511]",-94.91119959999999,47.8908084,73.83
"[2615, 4512]",-94.89320459999999,47.8908084,73.83
"[2615, 4513]",-94.87520959999999,47.8908084,73.83
"[2615, 4514]",-94.85721459999999,47.8908084,73.83
"[2615, 4515]",-94.83921959999999,47.8908084,73.83
"[2615, 4516]",-94.8212246,47.8908084,73.83
"[2615, 4517]",-94.8032296,47.8908084,74.19
"[2615, 4518]",-94.7852346,47.8908084,74.19
"[2616, 4492]",-95.25310459999999,47.9088034,72.39
"[2616, 4493]",-95.23510959999999,47.9088034,72.39
"[2616, 4494]",-95.21711459999999,47.9088034,72.75
"[2616, 4495]",-95.19911959999999,47.9088034,73.11
"[2616, 4496]",-95.18112459999999,47.9088034,73.47
"[2616, 4497]",-95.16312959999999,47.9088034,73.83
"[2616, 4498]",-95.14513459999999,47.9088034,73.83
"[2616, 4499]",-95.12713959999999,47.9088034,73.83
"[2616, 4500]",-95.1091446,47.9088034,73.83
"[2616, 4501]",-95.0911496,47.9088034,73.83
"[2616, 4502]",-95.0731546,47.9088034,73.47
"[2616, 4503]",-95.0551596,47.9088034,73.47
"[2616, 4504]",-95.03716459999998,47.9088034,73.47
"[2616, 4505]",-95.01916959999998,47.9088034,73.47
"[2616, 4506]",-95.00117459999998,47.9088034,73.83
"[2616, 4507]",-94.98317959999999,47.9088034,73.83
"[2616, 4508]",-94.96518459999999,47.9088034,73.83
"[2616, 4509]",-94.94718959999999,47.9088034,73.83
"[2616, 4510]",-94.92919459999999,47.9088034,73.83
"[2616, 4511]",-94.91119959999999,47.9088034,73.83
"[2616, 4512]",-94.89320459999999,47.9088034,73.83
"[2616, 4513]",-94.87520959999999,47.9088034,73.83
"[2616, 4514]",-94.85721459999999,47.9088034,73.83
"[2616, 4515]",-94.83921959999999,47.9088034,73.83
"[2616, 4516]",-94.8212246,47.9088034,73.83
"[2616, 4517]",-94.8032296,47.9088034,74.19
"[2616, 4518]",-94.7852346,47.9088034,74.19
"[2616, 4519]",-94.7672396,47.9088034,74.55
"[2617, 4492]",-95.25310459999999,47.9267984,72.39
"[2617, 4493]",-95.23510959999999,47.9267984,72.75
"[2617, 4494]",-95.21711459999999,47.9267984,72.75
"[2617, 4495]",-95.19911959999999,47.9267984,73.11
"[2617, 4496]",-95.18112459999999,47.9267984,73.47
"[2617, 4497]",-95.16312959999999,47.9267984,73.83
"[2617, 4498]",-95.14513459999999,47.9267984,73.83
"[2617, 4499]",-95.12713959999999,47.9267984,73.83
"[2617, 4500]",-95.1091446,47.9267984,73.83
"[2617, 4501]",-95.0911496,47.9267984,73.83
"[2617, 4502]",-95.0731546,47.9267984,73.47
"[2617, 4503]",-95.0551596,47.9267984,73.47
"[2617, 4504]",-95.03716459999998,47.9267984,73.47
"[2617, 4505]",-95.01916959999998,47.9267984,73.83
"[2617, 4506]",-95.00117459999998,47.9267984,73.83
"[2617, 4507]",-94.98317959999999,47.9267984,73.83
"[2617, 4508]",-94.96518459999999,47.9267984,73.83
"[2617, 4509]",-94.94718959999999,47.9267984,73.83
"[2617, 4510]",-94.92919459999999,47.9267984,73.83
"[2617, 4511]",-94.91119959999999,47.9267984,73.83
"[2617, 4512]",-94.89320459999999,47.9267984,73.83
"[2617, 4513]",-94.87520959999999,47.9267984,73.83
"[2617, 4514]",-94.85721459999999,47.9267984,73.83
"[2617, 4515]",-94.83921959999999,47.9267984,73.83
"[2617, 4516]",-94.8212246,47.9267984,73.83
"[2617, 4517]",-94.8032296,47.9267984,74.19
"[2617, 4518]",-94.7852346,47.9267984,74.19
"[2617, 4519]",-94.7672396,47.9267984,74.55
"[2618, 4492]",-95.25310459999999,47.9447934,72.75
"[2618, 4493]",-95.23510959999999,47.9447934,73.11
"[2618, 4494]",-95.21711459999999,47.9447934,73.11
"[2618, 4495]",-95.19911959999999,47.9447934,73.47
"[2618, 4496]",-95.18112459999999,47.9447934,73.83
"[2618, 4497]",-95.16312959999999,47.9447934,74.19
"[2618, 4498]",-95.14513459999999,47.9447934,74.19
"[2618, 4499]",-95.12713959999999,47.9447934,74.19
"[2618, 4500]",-95.1091446,47.9447934,74.19
"[2618, 4501]",-95.0911496,47.9447934,73.83
"[2618, 4502]",-95.0731546,47.9447934,73.83
"[2618, 4503]",-95.0551596,47.9447934,73.83
"[2618, 4504]",-95.03716459999998,47.9447934,73.83
"[2618, 4505]",-95.01916959999998,47.9447934,73.83
"[2618, 4506]",-95.00117459999998,47.9447934,74.19
"[2618, 4507]",-94.98317959999999,47.9447934,74.19
"[2618, 4508]",-94.96518459999999,47.9447934,74.19
"[2618, 4509]",-94.94718959999999,47.9447934,74.19
"[2618, 4510]",-94.92919459999999,47.9447934,74.19
"[2618, 4511]",-94.91119959999999,47.9447934,74.19
"[2618, 4512]",-94.89320459999999,47.9447934,74.19
"[2618, 4513]",-94.87520959999999,47.9447934,74.19
"[2618, 4514]",-94.85721459999999,47.9447934,74.19
"[2618, 4515]",-94.83921959999999,47.9447934,74.19
"[2618, 4516]",-94.8212246,47.9447934,74.19
"[2618, 4517]",-94.8032296,47.9447934,74.19
"[2618, 4518]",-94.7852346,47.9447934,74.55
"[2618, 4519]",-94.7672396,47.9447934,74.55
"[2618, 4520]",-94.74924459999998,47.9447934,74.55
"[2619, 4492]",-95.25310459999999,47.9627884,73.11
"[2619, 4493]",-95.23510959999999,47.9627884,73.11
"[2619, 4494]",-95.21711459999999,47.9627884,73.47
