sst_gridpoint,lon,lat,water_temp
"[1794, 3355]",-115.71341959999998,33.1169134,78.87
"[1794, 3356]",-115.6954246,33.1169134,78.87
"[1795, 3354]",-115.7314146,33.1349084,79.23
"[1795, 3355]",-115.71341959999998,33.1349084,79.23
"[1795, 3356]",-115.6954246,33.1349084,79.59
"[1795, 3357]",-115.67742959999998,33.1349084,80.67
"[1796, 3353]",-115.74940959999999,33.1529034,78.87
"[1796, 3354]",-115.7314146,33.1529034,79.59
"[1796, 3355]",-115.71341959999998,33.1529034,79.59
"[1796, 3356]",-115.6954246,33.1529034,79.95
"[1796, 3357]",-115.67742959999998,33.1529034,80.67
"[1796, 3358]",-115.6594346,33.1529034,80.31
"[1797, 3351]",-115.78539959999999,33.1708984,78.15
"[1797, 3352]",-115.76740459999999,33.1708984,78.51
"[1797, 3353]",-115.74940959999999,33.1708984,79.59
"[1797, 3354]",-115.7314146,33.1708984,80.31
"[1797, 3355]",-115.71341959999998,33.1708984,80.31
"[1797, 3356]",-115.6954246,33.1708984,80.31
"[1797, 3357]",-115.67742959999998,33.1708984,80.67
"[1797, 3358]",-115.6594346,33.1708984,80.31
"[1797, 3359]",-115.64143959999998,33.1708984,80.31
"[1798, 3351]",-115.78539959999999,33.1888934,78.51
"[1798, 3352]",-115.76740459999999,33.1888934,79.23
"[1798, 3353]",-115.74940959999999,33.1888934,79.95
"[1798, 3354]",-115.7314146,33.1888934,80.31
"[1798, 3355]",-115.71341959999998,33.1888934,80.67
"[1798, 3356]",-115.6954246,33.1888934,80.31
"[1798, 3357]",-115.67742959999998,33.1888934,80.67
"[1798, 3358]",-115.6594346,33.1888934,80.31
"[1798, 3359]",-115.64143959999998,33.1888934,80.31
"[1798, 3360]",-115.6234446,33.1888934,79.59
"[1799, 3350]",-115.80339459999999,33.2068884,78.51
"[1799, 3351]",-115.78539959999999,33.2068884,79.23
"[1799, 3352]",-115.76740459999999,33.2068884,79.59
"[1799, 3353]",-115.74940959999999,33.2068884,79.95
"[1799, 3354]",-115.7314146,33.2068884,80.67
"[1799, 3355]",-115.71341959999998,33.2068884,80.67
"[1799, 3356]",-115.6954246,33.2068884,80.67
"[1799, 3357]",-115.67742959999998,33.2068884,80.31
"[1799, 3358]",-115.6594346,33.2068884,79.95
"[1799, 3359]",-115.64143959999998,33.2068884,79.59
"[1799, 3360]",-115.6234446,33.2068884,79.23
"[1799, 3361]",-115.60544959999999,33.2068884,78.87
"[1800, 3349]",-115.82138959999999,33.224883399999996,78.51
"[1800, 3350]",-115.80339459999999,33.224883399999996,78.87
"[1800, 3351]",-115.78539959999999,33.224883399999996,79.59
"[1800, 3352]",-115.76740459999999,33.224883399999996,80.31
"[1800, 3353]",-115.74940959999999,33.224883399999996,80.31
"[1800, 3354]",-115.7314146,33.224883399999996,80.67
"[1800, 3355]",-115.71341959999998,33.224883399999996,80.67
"[1800, 3356]",-115.6954246,33.224883399999996,80.31
"[1800, 3357]",-115.67742959999998,33.224883399999996,79.95
"[1800, 3358]",-115.6594346,33.224883399999996,79.59
"[1800, 3359]",-115.64143959999998,33.224883399999996,79.59
"[1800, 3360]",-115.6234446,33.224883399999996,79.23
"[1800, 3361]",-115.60544959999999,33.224883399999996,78.87
"[1801, 3348]",-115.83938459999999,33.2428784,78.15
"[1801, 3349]",-115.82138959999999,33.2428784,78.87
"[1801, 3350]",-115.80339459999999,33.2428784,79.23
"[1801, 3351]",-115.78539959999999,33.2428784,79.95
"[1801, 3352]",-115.76740459999999,33.2428784,80.31
"[1801, 3353]",-115.74940959999999,33.2428784,80.67
"[1801, 3354]",-115.7314146,33.2428784,80.67
"[1801, 3355]",-115.71341959999998,33.2428784,80.67
"[1801, 3356]",-115.6954246,33.2428784,80.31
"[1801, 3357]",-115.67742959999998,33.2428784,79.95
"[1801, 3358]",-115.6594346,33.2428784,79.59
"[1801, 3359]",-115.64143959999998,33.2428784,79.23
"[1801, 3360]",-115.6234446,33.2428784,79.23
"[1801, 3361]",-115.60544959999999,33.2428784,78.87
"[1802, 3348]",-115.83938459999999,33.2608734,78.51
"[1802, 3349]",-115.82138959999999,33.2608734,78.87
"[1802, 3350]",-115.80339459999999,33.2608734,79.59
"[1802, 3351]",-115.78539959999999,33.2608734,80.31
"[1802, 3352]",-115.76740459999999,33.2608734,80.67
"[1802, 3353]",-115.74940959999999,33.2608734,80.67
"[1802, 3354]",-115.7314146,33.2608734,80.31
"[1802, 3355]",-115.71341959999998,33.2608734,80.31
"[1802, 3356]",-115.6954246,33.2608734,79.95
"[1802, 3357]",-115.67742959999998,33.2608734,79.59
"[1802, 3358]",-115.6594346,33.2608734,79.59
"[1802, 3359]",-115.64143959999998,33.2608734,79.23
"[1802, 3360]",-115.6234446,33.2608734,79.23
"[1802, 3361]",-115.60544959999999,33.2608734,78.87
