sst_gridpoint,lon,lat,water_temp
"[2183, 3569]",-111.86248959999999,40.1169684,78.51
"[2183, 3570]",-111.84449459999999,40.1169684,78.51
"[2184, 3569]",-111.86248959999999,40.1349634,78.51
"[2184, 3570]",-111.84449459999999,40.1349634,78.87
"[2184, 3571]",-111.82649959999999,40.1349634,78.87
"[2185, 3569]",-111.86248959999999,40.1529584,78.87
"[2185, 3570]",-111.84449459999999,40.1529584,78.87
"[2185, 3571]",-111.82649959999999,40.1529584,78.87
"[2185, 3572]",-111.80850459999999,40.1529584,79.23
"[2186, 3569]",-111.86248959999999,40.1709534,79.23
"[2186, 3570]",-111.84449459999999,40.1709534,79.23
"[2186, 3571]",-111.82649959999999,40.1709534,79.23
"[2186, 3572]",-111.80850459999999,40.1709534,79.23
"[2186, 3573]",-111.7905096,40.1709534,79.59
"[2186, 3574]",-111.7725146,40.1709534,79.59
"[2186, 3575]",-111.7545196,40.1709534,79.59
"[2186, 3576]",-111.7365246,40.1709534,79.95
"[2186, 3577]",-111.7185296,40.1709534,
"[2187, 3569]",-111.86248959999999,40.1889484,79.59
"[2187, 3570]",-111.84449459999999,40.1889484,79.59
"[2187, 3571]",-111.82649959999999,40.1889484,79.59
"[2187, 3572]",-111.80850459999999,40.1889484,79.59
"[2187, 3573]",-111.7905096,40.1889484,79.59
"[2187, 3574]",-111.7725146,40.1889484,79.59
"[2187, 3575]",-111.7545196,40.1889484,79.95
"[2187, 3576]",-111.7365246,40.1889484,80.31
"[2187, 3577]",-111.7185296,40.1889484,80.31
"[2188, 3570]",-111.84449459999999,40.2069434,
"[2188, 3571]",-111.82649959999999,40.2069434,79.59
"[2188, 3572]",-111.80850459999999,40.2069434,79.59
"[2188, 3573]",-111.7905096,40.2069434,79.59
"[2188, 3574]",-111.7725146,40.2069434,79.95
"[2188, 3575]",-111.7545196,40.2069434,80.31
"[2188, 3576]",-111.7365246,40.2069434,80.67
"[2188, 3577]",-111.7185296,40.2069434,80.67
"[2189, 3570]",-111.84449459999999,40.2249384,79.95
"[2189, 3571]",-111.82649959999999,40.2249384,
"[2189, 3572]",-111.80850459999999,40.2249384,79.95
"[2189, 3573]",-111.7905096,40.2249384,79.95
"[2189, 3574]",-111.7725146,40.2249384,80.31
"[2189, 3575]",-111.7545196,40.2249384,80.67
"[2189, 3576]",-111.7365246,40.2249384,81.03
"[2189, 3577]",-111.7185296,40.2249384,81.39
"[2190, 3572]",-111.80850459999999,40.2429334,79.95
"[2190, 3573]",-111.7905096,40.2429334,80.31
"[2190, 3574]",-111.7725146,40.2429334,80.67
"[2190, 3575]",-111.7545196,40.2429334,81.03
"[2190, 3576]",-111.7365246,40.2429334,81.03
"[2191, 3573]",-111.7905096,40.2609284,80.31
"[2191, 3574]",-111.7725146,40.2609284,80.67
"[2191, 3575]",-111.7545196,40.2609284,81.03
"[2192, 3573]",-111.7905096,40.2789234,80.67
"[2192, 3574]",-111.7725146,40.2789234,81.03
"[2192, 3575]",-111.7545196,40.2789234,81.39
"[2193, 3572]",-111.80850459999999,40.2969184,79.95
"[2193, 3574]",-111.7725146,40.2969184,81.03
"[2194, 3574]",-111.7725146,40.3149134,80.67
"[2195, 3572]",-111.80850459999999,40.3329084,79.95
"[2195, 3573]",-111.7905096,40.3329084,80.31
"[2196, 3570]",-111.84449459999999,40.3509034,79.59
"[2196, 3571]",-111.82649959999999,40.3509034,79.59
