Lake Name,20210706,20210713,20210720,20210727,20210803,20210810,20210817,20210824,20210831,20210907,20210914,20210921,20210928,20211005,20211012,20211019,20211026,20211102
Bear Lake,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Great Salt Lake,80.34,82.19,81.86,82.07,81.71,77.76,79.64,72.87,73.03,72.47,72.71,71.55,67.85,62.81,59.84,NaN,NaN,51.70
Lake Champlain,67.94,67.69,68.96,70.49,69.00,71.99,73.60,75.47,73.46,69.73,67.61,67.04,65.69,62.52,62.39,62.14,58.37,56.28
Lake Manitobaz,75.23,74.29,74.76,73.25,73.13,71.02,68.53,63.61,63.01,64.00,62.55,60.43,58.79,60.35,60.58,51.53,45.53,43.48
Lake Nipigon,62.27,62.00,64.17,64.01,64.56,62.77,63.63,63.32,62.13,59.87,58.59,58.32,57.08,57.19,57.40,55.41,48.26,50.05
Lake Okeechobee,82.76,83.94,84.41,86.72,86.90,85.69,84.68,85.57,84.08,84.41,83.32,83.10,83.84,81.52,82.66,81.68,78.79,79.71
Lake Pontchartrain,83.85,84.25,84.15,86.40,87.79,86.15,86.39,87.70,87.00,85.48,82.38,81.54,78.42,78.94,80.26,79.20,77.21,74.26
Lake Sakakawea,69.82,71.11,72.61,73.97,74.11,73.86,72.95,69.33,67.28,67.10,66.90,65.46,63.77,63.36,61.91,57.85,56.61,53.02
Lake Simcoe,69.28,68.36,71.08,70.92,69.13,71.12,73.16,75.73,75.16,71.10,68.12,67.77,63.23,59.72,62.73,60.67,58.12,54.71
Lake St. Clair,71.74,71.96,72.53,73.62,73.49,74.30,74.69,76.74,78.36,72.60,71.19,71.25,64.07,63.98,66.74,61.65,59.65,53.90
Lake Tahoe,67.90,70.66,68.31,69.08,68.50,68.09,69.36,65.31,65.33,64.76,65.62,64.07,63.57,59.72,58.20,56.01,52.22,53.13
Lake Winnebago,74.33,72.40,75.19,76.26,74.87,74.17,74.98,75.91,75.99,70.98,68.49,68.36,63.35,63.06,60.59,60.11,52.65,47.88
Lake Winnipeg,72.45,71.58,72.12,72.30,71.81,70.16,68.79,63.35,64.80,64.55,63.38,61.28,59.11,60.39,59.84,54.57,50.00,46.81
Lake of the Woods,74.25,72.33,73.50,72.66,71.47,71.41,70.13,72.14,65.68,64.87,63.69,61.96,59.73,61.64,61.47,56.40,50.48,44.81
Lower Red Lake,73.84,72.80,74.40,74.09,72.51,72.01,71.05,72.49,67.33,66.72,64.74,63.35,60.86,62.31,61.96,55.78,49.64,46.10
Salton Sea,88.64,89.56,90.25,89.21,90.14,89.47,90.03,87.67,88.98,89.17,90.15,85.87,84.61,81.18,77.60,73.28,72.17,70.87
Sebago Lake,73.29,70.13,71.58,72.68,71.65,72.39,76.22,NaN,75.49,71.67,69.84,69.23,68.72,64.83,63.88,63.41,60.01,54.23
Utah Lake,75.73,77.08,76.04,76.55,74.80,NaN,74.86,NaN,NaN,72.63,73.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
